date,status
2022-02-09,started
2022-02-09,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02142022\2132-T023-FKE.xls
2022-02-10,Started
2022-02-10,Could not connect to the dropbox
2022-02-11,Started
2022-02-11,Could not connect to the dropbox
2022-02-12,Started
2022-02-12,Could not connect to the dropbox
2022-02-13,Started
2022-02-13,Could not connect to the dropbox
2022-02-13,Started
2022-02-14,Started
2022-02-14,Could not connect to the dropbox
2022-02-14,Started
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02102022\2004-550-JGM.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02102022\2011-T106-CSM.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02102022\2038-T100-CSM.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02102022\2117-T019-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02102022\2125-026-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02112022\2117-122-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02112022\2121-T033-CSM.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02112022\2125-028-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02112022\2125-T003-FED.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02112022\2125-T004-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02112022\2127-T001-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02142022\2004-T139-FED.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02142022\2004-T140-FED.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02142022\2031-T025-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02142022\2038-T105-CSM.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02142022\2127-T002-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02142022\2127-T003-CSF.xls
2022-02-14,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02142022\2132-T023-CSF.xls
2022-02-15,Started
2022-02-15,Could not connect to the dropbox
2022-02-15,Started
2022-02-15,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02152022\2120-T005-FED.xls
2022-02-15,X:\production control\EVA REPORTS FOR THE DAY\2022\02 - FEBRUARY\02152022\2132-T018-CSF.xls
2022-02-16,Started
2022-02-16,Could not connect to the dropbox
2022-02-17,Started
2022-02-17,Could not connect to the dropbox
2022-02-18,Started
2022-02-18,Could not connect to the dropbox
2022-02-19,Started
2022-02-19,Could not connect to the dropbox
2022-02-20,Started
2022-02-20,Could not connect to the dropbox
2022-02-21,Started
2022-02-21,Could not connect to the dropbox
2022-02-22,Started
2022-02-22,Could not connect to the dropbox
2022-02-23,Started
2022-02-23,Could not connect to the dropbox
2022-02-24,Started
2022-02-24,Could not connect to the dropbox
2022-02-25,Started
2022-02-25,Could not connect to the dropbox
2022-02-26,Started
2022-02-26,Could not connect to the dropbox
2022-02-27,Started
2022-02-27,Could not connect to the dropbox
2022-02-28,Started
2022-02-28,Could not connect to the dropbox
2022-03-01,Started
2022-03-01,Could not connect to the dropbox
2022-03-02,Started
2022-03-02,Could not connect to the dropbox
2022-03-03,Started
2022-03-03,Could not connect to the dropbox
2022-03-04,Started
2022-03-04,Could not connect to the dropbox
2022-03-05,Started
2022-03-05,Could not connect to the dropbox
2022-03-06,Started
2022-03-06,Could not connect to the dropbox
2022-03-07,Started
2022-03-07,Could not connect to the dropbox
2022-03-08,Started
2022-03-08,Could not connect to the dropbox
2022-03-09,Started
2022-03-09,Could not connect to the dropbox
