CSF
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped
1927.0,CSF,,1,,5/26/2020,Patrick K,
2004.0,CSF,Buyout,1,"Bundles 20, 20.1 – 20.5, plus 20.11 (Area 1 & 2 Deck)",4/11/2022,Patrick K,
2004.0,CSF,Sequence,1,Release 47,6/17/2020,Patrick K,
2032.0,CSF,Sequence,1,Underbuild - South,12/29/2020,Patrick K,
1927.0,CSF,,10,,7/8/2020,Patrick K,
2032.0,CSF,Sequence,10,Underbuild - North,4/15/2021,Patrick K,
2032.0,CSF,Ticket,10,Ticket PK #10,10/13/2021,Patrick K,
2032.0,CSF,Sequence,11,Underbuild - North,4/23/2021,Patrick K,
2032.0,CSF,Ticket,11,Ticket #PK 11,10/27/2021,Patrick K,
2032.0,CSF,Sequence,12,Underbuild - North,4/28/2021,Patrick K,
2032.0,CSF,Ticket,12,Safety Posts Ticket #PK12,11/11/2021,Patrick K,
2004.0,CSF,Sequence,13,INTERIOR - North,9/12/2022,Patrick K,
2032.0,CSF,Sequence,13,Underbuild - North,5/4/2021,Patrick K,
2031.0,CSF,Sequence,13,,8/10/2021,Patrick K,
2032.0,CSF,Ticket,13,Ticket #PK13,12/15/2021,Patrick K,
2032.0,CSF,Sequence,14,Underbuild - North,5/14/2021,Patrick K,
2031.0,CSF,Sequence,14,Release #4 ,10/1/2020,Patrick K,
2032.0,CSF,Ticket,14,Additional angles - Ticket #14,4/8/2022,Patrick K,
2031.0,CSF,Sequence,14,,,Patrick K,
2032.0,CSF,Sequence,15,Underbuild - North,5/14/2021,Patrick K,
2032.0,CSF,Sequence,16,Underbuild - North,5/17/2021,Patrick K,
2004.0,CSF,Sequence,16,,6/1/2022,Patrick K,
2032.0,CSF,Sequence,17,South Overbuild,7/23/2021,Patrick K,
2004.0,CSF,Sequence,17,RETAIL - North - LOT #T198,9/14/2022,Patrick K,
2004.0,CSF,Buyout,18,Deck Bundles 18 & 18.1,8/9/2022,Patrick K,
2004.0,CSF,Sequence,18,LOBBY COLUMN - North (LOT #T213),7/14/2022,Patrick K,
2032.0,CSF,Sequence,18,North Overbuild,7/21/2021,Patrick K,
2004.0,CSF,Ticket,18,LOBBY COLUMN - 4th Flr Temp Conn. & shims-Rel.#989 (0.95 Tons),9/2/2022,Patrick K,
2032.0,CSF,Sequence,19,South Overbuild,9/27/2021,Patrick K,
2032.0,CSF,Sequence,2,Underbuild - South,1/8/2021,Patrick K,
2031.0,CSF,Ticket,2,2031-PK02,5/10/2021,Patrick K,
1927.0,CSF,,2,,5/28/2020,Patrick K,
2004.0,CSF,Buyout,2,Bundles 20.6 - 20.10 (Area #3 Deck),4/15/2022,Patrick K,
2004.0,CSF,Ticket,2,Seq 9 - Ticket #PK-02,12/11/2020,Patrick K,
2031.0,CSF,Sequence,2.1,Lot #T025 - ASI 046,2/24/2022,Patrick K,
