CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,Dwgs Needed in Shop
2217,CSM,Item,1,ST-1 (level 2 to roof),,,,
2217,CSM,Item,2,ST-2 (level B to level 20),,,,
2217,CSM,Item,3,ST-5 (covered entry level to level 3),,,,
2217,CSM,Item,4,ST-3 & ST-4 (level 1 to level 5),,,,
2217,CSM,Item,5,ST-6 (level 2.5M to level 3),,,,
2217,CSM,Item,6,ST-7 (level 3 to level 5),,,,
2217,CSM,Item,7,ST-8 (level B to level 1),,,,
2217,CSM,Item,8,Stair at Transformer Vault,,,,
2217,CSM,Item,9,Stair at Market,,,,
2217,CSM,Item,10,Picket guardrail with attached handrail and wall mounted handrail at loading dock concrete ramp.,,,,
2217,CSM,Item,11,Wall mounted handrail at motor court B [Callout 1] exterior concrete stair,,,,
2217,CSM,Item,12,Wall mounted handrail at riverside arcade concrete stair,,,,
2217,CSM,Item,13,Roof access ladder,,,,
2217,CSM,Item,14,"Elevator PE-1 to PE-6, FSAE-1, FSAE-2 and SE-1 components",,,,
2217,CSM,Item,14.1,Sump pit cover and frame,,,,
2217,CSM,Item,14.2,Pit ladder,,,,
2217,CSM,Item,14.3,Hoist beam,,,,
2217,CSM,Item,14.4,Divider beam,,,,
2217,CSM,Item,14.5,Sill angle,,,,
2217,CSM,Item,14.6,Intermediate rail support,,,,
2217,CSM,Item,15,BOH vanity countertop steel support,,,,
2217,CSM,Item,16,CMU wall support,,,,
2217,CSM,Item,17,Brick relieving angle,,,,
2217,CSM,Item,18,Brick shelf angle,,,,
2217,CSM,Item,19,Brick hanger support,,,,
2217,CSM,Item,20,Window head hanger support,,,,
2217,CSM,Item,21,Cladding steel support along level 2 bar terrace and level 5 pool terrace,,,,
2217,CSM,Item,22,2” x 3/16” galvanized bar grating steel stair & platform and 2-liner guardrail,,,,
2217,CSM,Item,23,Steel bollard,,,,
2217,CSM,Item,24,Won door steel support,,,,
2217,CSM,Item,25,East screen wall and canopy steel framing,,,,
2217,CSM,Item,26,Separator beam at stair 1 & 2 shaft wall,,,,
2217,CSM,Item,27,Louver head brick angle lintel,,,,
2217,CSM,Item,28,Continuous angle support for glass rail at pool terrace,,,,
2217,CSM,Item,29,Louver head loose angle lintel,,,,
2217,CSM,Item,30,Brick loose angle lintel,,,,
2217,CSM,Item,31,Stair nosing at stair adjacent to service corridor,,,,
2217,CSM,Item,32,Embed plate at compactor rail,,,,
2217,CSM,Item,33,Embed angle at loading dock edge,,,,
2217,CSM,Item,34,"Embed plate for general use by GC (quantity given per SOW)
PL 1/2""x12x1'-0"" w/ (4) 3/4""ØX6"" HD Studs (Galv.)(25 pcs)",,,,
