CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped?,Dwgs Needed in Shop,GoogleSheetRowNumber,GoogleSheetLink
2221,CSM,Sequence,1,Sequence 1,,Dick G,,11/11/1899,4848,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4848
2221,CSM,Sequence,2,Sequence 2 ,,Dick G,,11/11/1899,4850,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4850
2221,CSM,Sequence,3,Sequence 3,,Dick G,,11/11/1899,4852,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4852
2221,CSM,Sequence,4,Sequence 4,,Dick G,,11/11/1899,4854,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4854
2221,CSM,Sequence,5,Sequence 5,,Dick G,,11/11/1899,4856,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4856
2221,CSM,Sequence,6,Sequence 6 ,,Dick G,,11/11/1899,4858,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4858
2221,CSM,Sequence,7,Sequence 7,,Dick G,,11/11/1899,4860,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4860
2221,CSM,Sequence,8,Sequence 8,,Dick G,,11/11/1899,4862,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4862
2221,CSM,Sequence,9,Sequence 9,,Dick G,,11/11/1899,4864,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4864
2221,CSM,Sequence,10,Sequence 10,,Dick G,,11/11/1899,4866,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4866
2221,CSM,Sequence,11,Sequence 11,,Dick G,,11/11/1899,4868,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4868
2221,CSM,Sequence,12,Sequence 12,,Dick G,,11/11/1899,4870,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4870
2221,CSM,Sequence,13,Sequence 13,,Dick G,,11/11/1899,4872,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4872
2221,CSM,Sequence,14,Sequence 14,,Dick G,,11/11/1899,4874,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4874
2221,CSM,Sequence,15,Sequence 15,,Dick G,,11/11/1899,4876,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4876
