CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2218,CSM,Sequence,1,EXTRACTOR PIT (EP-1)-T001 T002 T008 T009 T013 T017 T018,10/3/2022,,Yes,4493,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4493
2121,CSM,Ticket,1,ASI 22 Precast support angles,4/1/2022,,Yes,3081,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3081
2121,CSM,Sequence,1,Level 1 (Area C&D 1st to 2nd flr)-LOT#T001,10/12/2021,,Yes,3099,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3099
2107,CSM,Sequence,1,,6/10/2021,,Yes,2457,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2457
2142,CSM,Ticket,1,New Beam Mk: B5045 (replacement for damage B5032),8/29/2022,,Yes,3895,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3895
2216,CSM,Sequence,1,"T001, T003, T013",11/15/2022,,,4165,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4165
2107,CSM,Ticket,1, Fall Arrest,10/19/2022,,,2469,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2469
2207,CSM,Sequence,1,New Building,11/2/2022,,,3995,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3995
2217,CSM,Sequence,1,Sequence 1 ,7/10/2023,,,4404,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4404
2217,CSM,Item,1,ST-1 (level 2 to roof) Buyout,8/1/2023,,,4430,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4430
2121,CSM,Ticket,10,Field Fix - Added per Missed Pocket (B4011),6/17/2022,,Yes,3096,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3096
2207,CSM,Item,10,"Includes a $3,200.00 allowance to repair 27 LF of existing railing per A2.22 – note #6",12/5/2022,,,4012,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4012
2217,CSM,Sequence,10,Sequence 10,7/24/2023,,,4413,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4413
2142,CSM,Item,10,Interior Overhead door support ,11/13/2022,,,3878,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3878
2217,CSM,Item,10,Picket guardrail with attached handrail and wall mounted handrail at loading dock concrete ramp.,9/1/2023,,,4439,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4439
2107,CSM,Item,10,Trench Cover,8/26/2022,,Yes,2452,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2452
2218,CSM,Sequence,10,CASTING (CAST-1)-T028 T029 T030 T031 T032 T071,11/19/2022,,,4504,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4504
2216,CSM,Sequence,10,T015 T016,12/8/2022,,,4175,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4175
2218,CSM,Sequence,11,CASTING (CAST-2)-T033 T034 T035 T036 T037 T071,11/21/2022,,,4506,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4506
