CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2009,CSM,Ticket,27,,9/27/2021,Darryl ,,1439,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1439
2009,CSM,Ticket,28,Missing Material On Site ,10/11/2021,Darryl ,,1440,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1440
2009,CSM,Ticket,29,Missing connection material for B44013,10/11/2021,Darryl ,,1441,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1441
2009,CSM,Ticket,32,Aluminum Plugs for Galvanize Screen Wall,10/11/2021,Darryl ,,1444,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1444
2009,CSM,Ticket,33,Missing mat./connection mat. shop error,10/18/2021,Darryl ,,1445,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1445
2009,CSM,Ticket,34,Replacement Embeds due to shop error ,10/22/2021,Darryl ,,1446,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1446
2009,CSM,Ticket,36,Aluminum Vent Plugs ,11/15/2021,Darryl ,,1448,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1448
2009,CSM,Ticket,37,HSS Members for super deck installation. CO Work.,12/3/2021,Darryl ,,1450,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1450
2009,CSM,Ticket,38,Added plate for missing embed/stock angle. CO 073,2/15/2022,Darryl ,,1451,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1451
2009,CSM,Ticket,39,PH-2009-599: Added Plates for Field Welding per SK-1,,Darryl ,,1453,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1453
2009,CSM,Ticket,40,PH-2009-601: Added Per RFI 827 Response,,Darryl ,,1455,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1455
2009,CSM,Ticket,42,Replacement Lintels - Fab Error ,6/27/2022,Darryl ,,1457,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1457
