CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2009,CSM,Sequence,1,,5/25/2021,Darryl,,1239,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1239
2009,CSM,Sequence,1.1,OSHA Posts for entire project ,4/19/2021,Darryl,,1240,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1240
2009,CSM,Sequence,10,,5/25/2021,Darryl,,1253,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1253
2009,CSM,Ticket,11,,6/17/2021,Darryl,,1423,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1423
2009,CSM,Sequence,11,,6/1/2021,Darryl,,1255,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1255
2009,CSM,Sequence,12,,6/7/2021,Darryl,,1257,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1257
2009,CSM,Ticket,13,,6/24/2021,Darryl,,1425,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1425
2009,CSM,Sequence,14,,4/26/2021,Darryl,,1258,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1258
2009,CSM,Ticket,14,,6/24/2021,Darryl,,1426,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1426
2009,CSM,Sequence,14.1,"PH-2009-484: Roof Drain Steel per RFI sketches# 127,226,226A,238 & 239 and  Left Behind Due to Matl Shortage",8/16/2021,Darryl,,1259,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1259
2009,CSM,Ticket,14.1,,6/29/2021,Darryl,,1427,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1427
2009,CSM,Sequence,15,,6/8/2021,Darryl,,1261,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1261
2009,CSM,Sequence,16,,6/28/2021,Darryl,,1265,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1265
2009,CSM,Ticket,16,,7/6/2021,Darryl,,1428,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1428
2009,CSM,Ticket,17,,7/26/2021,Darryl,,1429,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1429
