CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2107,CSM,Sequence,1,,6/10/2021,Dick G,,2457,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2457
2142,CSM,Ticket,1,New Beam Mk: B5045 (replacement for damage B5032),8/29/2022,Dick G,,3895,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3895
2107,CSM,Ticket,1, Fall Arrest,10/19/2022,Dick G,,2469,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2469
2142,CSM,Sequence,1,Sector 1 Starts Shipping Complete 9/23,9/15/2022,Dick G,Delay At Job Site,3884,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3884
2107,CSM,Item,1.1,PH-2107-106 Clip Angles with bolts,8/26/2022,Dick G,,2467,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2467
2107,CSM,Item,1.1,PH-2107-102  4-C3x4.1 Titan Fix,6/1/2022,Dick G,,2453,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2453
2142,CSM,Ticket,10,Ticket 92622-10 - Backing Bar,10/4/2022,Dick G,Unrealistic lead time when ticket was entered,3905,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3905
2142,CSM,Item,10,Interior Overhead door support ,11/13/2022,Dick G,,3878,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3878
2107,CSM,Item,10,Trench Cover,8/26/2022,Dick G,,2452,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2452
2107,CSM,Item,11,Crane Maint Walkway Grating - Buy Out,5/16/2022,Dick G,,2456,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2456
