CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped
2121,CSM,Sequence,1,Level 1 (Area C&D 1st to 2nd flr)-LOT#T001,10/12/2021,John S,
2038,CSM,Sequence,1,"Lots T033-T036 T038, T039,T042,T044, T053-TO55",10/25/2021,John S,
2121,CSM,Ticket,1,ASI 22 Precast support angles,4/1/2022,John S,
2034,CSM,Ticket,1,Sector 6 divider steel tube frame,3/23/2022,John S,
2121,CSM,Sequence,1.1,Level 2 (Area C&D 2nd to  3rd flr)-LOT#T002,11/1/2021,John S,
2038,CSM,Sequence,1.1,LOT T105 - 3PCS HSS5X5X1/4,3/3/2022,John S,
2034,CSM,Item,1.1,Sector 2 sump pit grate,5/18/2021,John S,
2034,CSM,Item,1.1,Sector 1 sump pit grate,5/18/2021,John S,
2034,CSM,Item,1.1,Sector 3 sump pit grate,5/24/2021,John S,
2121,CSM,Sequence,1.5,Seq1 (Area C)(Added per RFI#257) T022,12/13/2021,John S,
2034,CSM,Item,1.5,Sector 1 Sill angle,12/9/2020,John S,
2034,CSM,Item,1.5,Sector 2 Sill angle,1/8/2021,John S,
2038,CSM,Sequence,10,Lot T107 - 2 folding partition supports,3/29/2022,John S,
2121,CSM,Ticket,10,Field Fix - Added per Missed Pocket (B4011),6/17/2022,John S,
2038,CSM,Ticket,10,Ticket #10 - C8001 Shear Tab,4/1/2022,John S,
2034,CSM,Item,10,Sector 1 Loose lintel,5/28/2021,John S,
2034,CSM,Item,11,Sector 1 trash dock embeds,10/20/2021,John S,
2038,CSM,Ticket,11,Ticket #11 - Add'l. Plate washers,4/2/2022,John S,
2034,CSM,Item,11,Sector 1 Trash dock,12/1/2020,John S,
2034,CSM,Item,12,Sector 1 mesh infill rails,1/11/2022,John S,
2121,CSM,Ticket,12,Replace Plates 35-MS10,7/6/2022,John S,
2038,CSM,Ticket,12,Ticket #12 - L4x4 for Gutter,5/15/2022,John S,
2038,CSM,Item,12,3 elevator guide rails (incl'd w/Seq 1),10/25/2021,John S,
2038,CSM,Ticket,13,Ticket #13  - Missing Plates at Translucent Panel - South Side,5/25/2022,John S,
2038,CSM,Item,13,(deleted) Exterior sign support for one sign; shop prime ,3/10/2022,John S,
2121,CSM,Ticket,13,Replace Misc Lintel Angles,6/30/2022,John S,
2038,CSM,Ticket,14,Ticket #14 - L3x3 for Panels,6/1/2022,John S,
2038,CSM,Item,14,"4 line pipe rail ""security fence"" at exterior patio",9/15/2022,John S,
2121,CSM,Item,14.1,Steel stair at theater catwalk(Bldg A) GRATING TREADS,8/6/2022,John S,
2038,CSM,Item,15,Ametco trash gate (Buyout),9/30/2022,John S,
2038,CSM,Ticket,15,Misc Missing Brace Matl,6/15/2022,John S,
2121,CSM,Ticket,15,Replace missing Item 27 Material,8/8/2022,John S,
2038,CSM,Item,16,"Steel tube at countertop (VIP BOX4-312B, Broadcast BOX 305 and 306)",6/1/2022,John S,
2038,CSM,Ticket,16,Missing Base Angle for Wall Panels,7/18/2022,John S,
1828,CSM,Sequence,16,,8/27/2021,John S,
2038,CSM,Item,17,Steel support for low storage doors,3/14/2022,John S,
2038,CSM,Item,18,Embed angle at exterior roll up door,5/16/2022,John S,
2038,CSM,Ticket,18,Pick up 2 bundles deck - deliver to 2121_HHS,9/7/2022,John S,
2038,CSM,Item,19,Embed angle at loading dock,5/16/2022,John S,
2038,CSM,Item,2, (Removed from scope) Vomitory Rails #2 and #3 ramp,5/2/2022,John S,
2121,CSM,Sequence,2,Level1(Cols-1st/2nd flr) & Level2 (Beams-3rd flr) - (Area B1)-LOT#T006,12/15/2021,John S,
2038,CSM,Sequence,2,"Lots T036, T040, T042, T043,T052 T056 T064",11/1/2021,John S,
2121,CSM,Ticket,2,Epoxy Anchors from Fed,3/21/2022,John S,
2121,CSM,Sequence,2.1,Level1 (Cols-2nd flr)&Level1/2 (Beams-2nd&3rd flr) - (Area B1)-LOT#T005,12/16/2021,John S,
2034,CSM,Item,2.1,Sector 1 ships ladder,5/7/2021,John S,
2034,CSM,Item,2.1,Sector 2 Ships ladder,5/21/2021,John S,
2034,CSM,Item,2.2,Sector 2 Roof cross over,5/22/2021,John S,
2034,CSM,Item,2.2,Sector 3 roof cross over,5/25/2021,John S,
2121,CSM,Sequence,2.2,Level2 (Beams-3rd flr) & Level3 (Roof Beams) - (Area B1) - T007&T008,12/20/2021,John S,
2034,CSM,Item,2.3,Sector 6 Vertical ladder,5/26/2021,John S,
2034,CSM,Item,2.3,Sector 2 Vertical ladder,6/26/2021,John S,
2034,CSM,Item,2.3,Sector 3 Vertical ladder,7/21/2021,John S,
2034,CSM,Item,2.3,Sector 4 Vertical ladder,5/23/2021,John S,
2121,CSM,Sequence,2.3, Level3 (Roof Beams) - (Area B1) - T009&T010,12/28/2021,John S,
2034,CSM,Item,2.3,Sector 5 Vertical ladder,5/24/2021,John S,
2038,CSM,Item,21,Bollards as shown on A203 and A204,6/20/2022,John S,
2038,CSM,Item,23,Score Board Mounting support,6/9/2022,John S,
1828,CSM,Sequence,25,,8/27/2021,John S,
2121,CSM,Item,25,Ladders (Buyout),9/30/2022,John S,
2121,CSM,Item,27,"Checkered plate platform, 3-liner guardrail and steel frame support at theatre catwalk(Bldg B)",7/20/2022,John S,
2121,CSM,Item,29,"Operable partition support at level 1,2 and 3",7/19/2022,John S,
2121,CSM,Ticket,3,Replace B3014,4/15/2022,John S,
2038,CSM,Sequence,3,"Lots T037, T040 T043 T057",11/5/2021,John S,
2121,CSM,Sequence,3,Seq3 Level2 (Area B2) T012,1/19/2022,John S,
2121,CSM,Item,3.1,Stair D(Bldg B) (Stringers & Landing Framing),9/1/2022,John S,
2121,CSM,Sequence,3.1,Seq3 Level2 (Area B2) T013,1/19/2022,John S,
2121,CSM,Ticket,3.1,Replace plate washers,4/14/2022,John S,
2121,CSM,Sequence,3.2,Seq3 Level2 (Area B2) T014,1/24/2022,John S,
2121,CSM,Item,3.2,Stair D Rails,10/1/2022,John S,
