CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2121,CSM,Ticket,1,ASI 22 Precast support angles,4/1/2022,John S,,3081,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3081
2038,CSM,Sequence,1,"Lots T033-T036 T038, T039,T042,T044, T053-TO55",10/25/2021,John S,,2348,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2348
2121,CSM,Sequence,1,Level 1 (Area C&D 1st to 2nd flr)-LOT#T001,10/12/2021,John S,,3099,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3099
2034,CSM,Ticket,1,Sector 6 divider steel tube frame,3/23/2022,John S,,2272,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2272
2217,CSM,Item,1,ST-1 (level 2 to roof) Buyout,8/1/2023,John S,,4430,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4430
2034,CSM,Item,1.1,Sector 1 sump pit grate,5/18/2021,John S,,2214,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2214
2034,CSM,Item,1.1,Sector 2 sump pit grate,5/18/2021,John S,,2215,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2215
2121,CSM,Sequence,1.1,Level 2 (Area C&D 2nd to  3rd flr)-LOT#T002,11/1/2021,John S,,3039,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3039
2034,CSM,Item,1.1,Sector 3 sump pit grate,5/24/2021,John S,,2216,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2216
2038,CSM,Sequence,1.1,LOT T105 - 3PCS HSS5X5X1/4,3/3/2022,John S,,2349,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2349
2034,CSM,Item,1.5,Sector 2 Sill angle,1/8/2021,John S,,2218,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2218
2034,CSM,Item,1.5,Sector 1 Sill angle,12/9/2020,John S,,2217,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2217
2121,CSM,Sequence,1.5,Seq1 (Area C)(Added per RFI#257) T022,12/13/2021,John S,,3043,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3043
2038,CSM,Sequence,10,Lot T107 - 2 folding partition supports,3/29/2022,John S,,2396,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2396
2038,CSM,Ticket,10,Ticket #10 - C8001 Shear Tab,4/1/2022,John S,,2404,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D2404
