CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2218,CSM,Sequence,13,CASTING (CAST-4)-T054 T055 T056 T057,11/23/2022,Lot Put On Hold By PM,,4509,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4509
2218,CSM,Sequence,14,CASTING (CAST-5)-T058 T059 T060 T061,11/24/2022,Lot Put On Hold By PM,,4511,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4511
2218,CSM,Sequence,15,CASTING (CAST-6)-T061 T062 T063 T064,11/25/2022,Lot Put On Hold By PM,,4513,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4513
2218,CSM,Sequence,16,RAW WAREHOUSE (RAW-1)-T042 T043 T044 T045 T046 T047,10/31/2022,Lot Put On Hold By PM,,4515,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4515
2218,CSM,Sequence,17,RAW WAREHOUSE (RAW-2)-T048 T049,11/1/2022,Lot Put On Hold By PM,,4516,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4516
2218,CSM,Sequence,18,RAW WAREHOUSE (RAW-3)-T050 T051,11/2/2022,Lot Put On Hold By PM,,4517,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4517
2218,CSM,Sequence,19,RAW WAREHOUSE (RAW-4)-T050 T051 T052 T053,11/3/2022,Lot Put On Hold By PM,,4518,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4518
2218,CSM,Sequence,2,EXTRACTOR PIT (EP-2)-T002 T009 T018 T019,,Lot Put On Hold By PM,YES,4494,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4494
2218,CSM,Sequence,20,RAW WAREHOUSE (RAW-5),11/4/2022,Lot Put On Hold By PM,,4519,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4519
2218,CSM,Sequence,22,OVEN (OVEN-2) (MATERIAL ON HOLD),12/4/2022,Lot Put On Hold By PM,,4522,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4522
2218,CSM,Sequence,23,OVEN (OVEN-3),12/5/2022,Lot Put On Hold By PM,,4523,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4523
