CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2207,CSM,Sequence,1,New Building,11/2/2022,Mustafa,,3995,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3995
2207,CSM,Item,10,"Includes a $3,200.00 allowance to repair 27 LF of existing railing per A2.22 – note #6",12/5/2022,Mustafa,,4012,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4012
2207,CSM,Item,11,Roof Opening Patch,11/17/2022,Mustafa,,4013,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4013
2207,CSM,Item,12,Added Guardrail at CT-1 Support Platform,11/15/2022,Mustafa,,4014,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4014
2207,CSM,Item,13,Conc Plank Roof Opening Patch,11/15/2022,Mustafa,,4015,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4015
2207,CSM,Sequence,2,Existing Building,12/5/2022,Mustafa,,3996,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3996
2207,CSM,Item,2,Pipe railing and kick plate at grating per note 5 on S2.53,11/15/2022,Mustafa,,4003,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4003
2207,CSM,Sequence,3,Existing Building,12/5/2022,Mustafa,,3997,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3997
2207,CSM,Item,3,Ships ladder,11/15/2022,Mustafa,,4004,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4004
2207,CSM,Item,4,"Pipe rails at access platform per S2.03; E, F/S3.01",12/5/2022,Mustafa,,4006,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4006
2207,CSM,Sequence,4,Existing Building,12/5/2022,Mustafa,,3998,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3998
2216,CSM,Sequence,5,NO WORK- JUST DATE REVISION PURPOSES,11/23/2022,Mustafa,,1965,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1965
2207,CSM,Sequence,5,Existing Building,12/5/2022,Mustafa,,3999,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3999
2207,CSM,Item,6,"OH door frame, fire damper and sill support per 2/A1.50, 2/A1.70, 4/A3.60, 1/A4.50, 4/A4.61",11/15/2022,Mustafa,,4008,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4008
2207,CSM,Item,8,"Louver head and sill angle per 1/A1.70, 3/A3.60, 5,6/A5.62, B, E/S3.53",12/5/2022,Mustafa,,4010,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4010
