FED
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped?,Dwgs Needed in Shop,GoogleSheetRowNumber,GoogleSheetLink
2222,FED,Sequence,,College Park,1/12/2024,Brian H,,11/24/2023,4895,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4895
2222,FED,Sequence,,East Campus,1/12/2024,Brian H,,11/24/2023,4896,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4896
2222,FED,Sequence,,New Carrolton,3/15/2024,Brian H,,1/26/2024,4897,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4897
2222,FED,Sequence,,Woodside/16th,3/21/2024,Brian H,,2/1/2024,4898,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4898
2222,FED,Sequence,,Dale Drive,6/2/2024,Brian H,,4/14/2024,4899,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4899
2222,FED,Sequence,,Bethesda - Remainder,7/1/2024,Brian H,,5/13/2024,4900,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4900
2222,FED,Sequence,,Campus Center,8/8/2024,Brian H,,6/20/2024,4901,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4901
2222,FED,Sequence,,Lyttonsville,8/26/2024,Brian H,,7/8/2024,4902,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4902
2222,FED,Sequence,,Long Branch,11/8/2024,Brian H,,9/20/2024,4903,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4903
2222,FED,Sequence,,Adelphi Road,11/25/24,Brian H,,10/7/2024,4904,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4904
2222,FED,Sequence,,Piney Branch ,12/1/2024,Brian H,,10/13/2024,4905,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4905
2222,FED,Sequence,,Riggs Road,12/1/2024,Brian H,,10/13/2024,4906,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4906
2222,FED,Sequence,,Tacoma Langley,12/1/2024,Brian H,,10/13/2024,4907,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4907
2222,FED,Sequence,,Manchester,12/23/2024,Brian H,,11/4/2024,4908,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4908
