FED
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped
1818.0,FED,,FED 102820-1818,,10/28/2020,Mike D,
1818.0,FED,,FED shop ticket 120120-1818,,12/3/2020,Mike D,
1818.0,FED,,FED ticket 112320-1818,,11/24/2020,Mike D,
1818.0,FED,,PH-1818-105,,9/29/2020,Mike D,
1918.0,FED,,16 (elevator steel),,7/10/2011,Mike D,
1918.0,FED,,FED 020821-1918,,2/12/2021,Mike D,
1918.0,FED,,FED 021021-1918,,2/12/2021,Mike D,
1918.0,FED,,FED 102820-1918,,10/28/2020,Mike D,
1918.0,FED,,FED ticket 112320-1918,,11/24/2020,Mike D,
1918.0,FED,,FED Work Ticket 030221 Field Bolts,,3/3/2021,Mike D,
1918.0,FED,,FED Work Ticket 062920-1918,,7/1/2020,Mike D,
1918.0,FED,,FED work ticket 081220-1918,,8/14/2020,Mike D,
1918.0,FED,,FED WR 101320-1918,,10/16/2020,Mike D,
1918.0,FED,,Field Bolts SRH,,6/1/2020,Mike D,
1918.0,FED,,PH-1918-069,,5/14/2020,Mike D,
1918.0,FED,,PH-1918-132,,8/7/2020,Mike D,
1918.0,FED,,PH-1918-172,,9/29/2020,Mike D,
1918.0,FED,,PH-1918-189,,12/3/2020,Mike D,
1918.0,FED,,PH-1918-197 DH Roof Frames,,3/3/2021,Mike D,
1918.0,FED,,PH-1918-198 DH Roof Frames,,3/8/2021,Mike D,
1918.0,FED,,PH-1918-200,,4/5/2021,Mike D,
1918.0,FED,,Shop Release PH-1918-078,,5/28/2020,Mike D,
1918.0,FED,,Shop Release PH-1918-084,,6/4/2020,Mike D,
1918.0,FED,,Shop Release PH-1918-105,,6/16/2020,Mike D,
1918.0,FED,,Shop ticket 011821-1918,,1/19/2021,Mike D,
1918.0,FED,,Shop work ticket 033021-1918 (field bolts),,4/5/2021,Mike D,
1918.0,FED,,Ticket #3725,,4/21/2020,Mike D,
1918.0,FED,,Ticket 110320-1918,,11/5/2020,Mike D,
1918.0,FED,,Work ticket 091120-1918,,9/15/2020,Mike D,
