,Date,Tons,Earned,Actual,Efficiency
0,07/30/2021 5:33 AM,0.0,0.0,16.96,0.00%
1,07/30/2021 5:48 AM,0.0,0.0,21.96,0.00%
2,07/30/2021 6:03 AM,0.0,0.0,26.96,0.00%
3,07/30/2021 6:18 AM,0.32,5.21,31.96,16.29%
4,07/30/2021 6:33 AM,0.73,11.8,36.96,31.92%
5,07/30/2021 6:48 AM,0.73,11.8,41.96,28.12%
6,07/30/2021 7:02 AM,0.73,11.8,46.96,25.12%
7,07/30/2021 7:18 AM,1.35,19.01,52.19,36.43%
8,07/30/2021 7:33 AM,1.35,19.01,57.44,33.10%
9,07/30/2021 7:48 AM,1.5,21.33,65.46,32.58%
10,07/30/2021 8:03 AM,1.5,21.33,70.96,30.06%
11,07/30/2021 8:18 AM,1.5,21.33,76.46,27.89%
12,07/30/2021 8:33 AM,1.5,21.33,81.85,26.06%
13,07/30/2021 8:48 AM,1.58,22.64,87.09,26.00%
14,07/30/2021 9:03 AM,1.58,22.64,92.56,24.46%
15,07/30/2021 9:17 AM,1.58,22.64,98.06,23.09%
16,07/30/2021 9:33 AM,1.72,24.87,103.52,24.02%
17,07/30/2021 9:48 AM,1.72,24.87,108.48,22.93%
18,07/30/2021 10:03 AM,1.8,26.2,113.14,23.16%
19,07/30/2021 10:18 AM,1.8,26.2,118.16,22.17%
20,07/30/2021 10:32 AM,1.8,26.2,123.64,21.19%
21,07/30/2021 10:48 AM,1.8,26.2,128.78,20.35%
22,07/30/2021 11:03 AM,1.8,26.2,132.38,19.79%
23,07/30/2021 11:18 AM,7.31,60.3,134.24,44.92%
24,07/30/2021 11:33 AM,7.31,60.3,137.63,43.82%
25,07/30/2021 11:48 AM,7.31,60.3,142.63,42.28%
26,07/30/2021 12:03 PM,7.31,60.3,147.66,40.84%
27,07/30/2021 12:18 PM,7.51,61.85,153.16,40.38%
28,07/30/2021 12:33 PM,7.51,61.85,158.68,38.98%
29,07/30/2021 12:48 PM,7.51,61.85,164.43,37.61%
30,07/30/2021 1:03 PM,8.16,74.85,170.13,44.00%
31,07/30/2021 1:28 PM,8.16,74.85,179.01,41.81%
32,07/30/2021 1:33 PM,8.16,74.85,180.84,41.39%
33,07/30/2021 1:48 PM,8.16,74.85,183.51,40.79%
34,07/30/2021 2:05 PM,8.16,74.85,185.83,40.28%
35,07/30/2021 2:18 PM,8.16,74.85,187.97,39.82%
36,07/30/2021 2:34 PM,8.16,74.85,190.06,39.38%
37,07/30/2021 2:48 PM,8.16,74.85,191.97,38.99%
38,07/30/2021 3:02 PM,8.23,75.38,193.97,38.86%
39,07/30/2021 3:18 PM,9.07,88.24,195.97,45.03%
40,07/30/2021 3:33 PM,9.07,88.24,197.97,44.57%
41,07/30/2021 3:48 PM,9.07,88.24,199.97,44.13%
42,07/30/2021 4:03 PM,10.48,96.05,201.97,47.56%
43,07/30/2021 4:18 PM,10.48,96.05,203.97,47.09%
44,07/30/2021 4:33 PM,10.48,96.05,205.97,46.63%
45,07/30/2021 4:48 PM,11.0,103.96,207.97,49.99%
46,07/30/2021 5:03 PM,11.0,103.96,210.09,49.49%
47,07/30/2021 5:18 PM,11.0,103.96,212.34,48.96%
48,07/30/2021 5:33 PM,11.0,103.96,214.59,48.45%
49,07/30/2021 5:48 PM,11.0,103.96,216.84,47.95%
50,07/30/2021 6:03 PM,11.52,112.24,219.09,51.23%
51,07/30/2021 6:18 PM,11.52,112.24,221.34,50.71%
52,07/30/2021 6:33 PM,11.52,112.24,223.43,50.24%
53,07/30/2021 6:48 PM,11.52,112.24,225.43,49.79%
54,07/30/2021 7:03 PM,11.52,112.24,227.42,49.35%
55,07/30/2021 7:18 PM,11.52,112.24,229.15,48.98%
56,07/30/2021 7:33 PM,11.52,112.24,230.55,48.68%
57,07/30/2021 7:48 PM,12.35,125.57,231.57,54.23%
58,07/30/2021 8:03 PM,12.8,135.14,232.93,58.02%
59,07/30/2021 8:18 PM,12.8,135.14,234.93,57.52%
60,07/30/2021 8:33 PM,13.34,142.91,236.93,60.32%
61,07/30/2021 8:48 PM,13.34,142.91,238.93,59.81%
62,07/30/2021 9:19 PM,13.343,142.9055945,242.93,0.5882583233
63,07/30/2021 9:33 PM,13.343,142.9055945,244.93,0.5834548421
64,07/30/2021 9:48 PM,13.925,153.048444,246.93,0.6198049811
65,07/30/2021 10:03 PM,13.925,153.048444,248.56,0.6157404408
66,07/30/2021 10:18 PM,13.925,153.048444,248.79,0.6151712045
67,07/30/2021 10:33 PM,13.925,153.048444,249.04,0.614553662
68,07/30/2021 10:48 PM,13.93,153.05,249.03,61.46%
69,07/30/2021 11:03 PM,13.93,153.05,249.03,61.46%
70,07/30/2021 11:18 PM,13.93,153.05,249.03,61.46%
71,07/30/2021 11:34 PM,13.93,153.05,249.03,61.46%
72,07/30/2021 11:48 PM,13.93,153.05,249.03,61.46%
