,08/11/2021 5:48 AM,0.00,0.08,0
0,08/11/2021 6:03 AM,0.0,2.11,0.00%
1,08/11/2021 6:18 AM,1.76,9.2,19.09%
2,08/11/2021 6:33 AM,1.76,16.94,10.37%
3,08/11/2021 6:48 AM,4.08,24.71,16.49%
4,08/11/2021 7:03 AM,5.59,32.72,17.10%
5,08/11/2021 7:18 AM,6.09,40.97,14.86%
6,08/11/2021 7:33 AM,12.1,49.22,24.58%
7,08/11/2021 7:48 AM,12.61,57.47,21.95%
8,08/11/2021 8:02 AM,12.61,65.72,19.19%
9,08/11/2021 8:18 AM,13.88,73.97,18.77%
10,08/11/2021 8:33 AM,13.88,82.22,16.89%
11,08/11/2021 8:48 AM,13.88,90.47,15.35%
12,08/11/2021 9:03 AM,13.88,97.72,14.21%
13,08/11/2021 9:18 AM,13.88,105.97,13.10%
14,08/11/2021 9:33 AM,31.93,110.45,28.91%
15,08/11/2021 9:48 AM,31.93,118.54,26.94%
16,08/11/2021 10:03 AM,36.84,126.79,29.06%
17,08/11/2021 10:18 AM,36.84,135.04,27.28%
18,08/11/2021 10:33 AM,36.84,143.13,25.74%
19,08/11/2021 10:48 AM,36.84,151.14,24.38%
20,08/11/2021 11:04 AM,49.73,159.51,31.18%
21,08/11/2021 11:18 AM,50.39,167.14,30.15%
22,08/11/2021 11:33 AM,50.82,175.14,29.02%
23,08/11/2021 11:48 AM,50.82,183.14,27.75%
24,08/11/2021 12:03 PM,50.82,190.41,26.69%
25,08/11/2021 12:18 PM,96.77,191.86,50.44%
26,08/11/2021 12:48 PM,134.99,200.61,67.29%
27,08/11/2021 1:03 PM,134.99,208.35,64.79%
28,08/11/2021 1:18 PM,134.99,215.87,62.53%
29,08/11/2021 1:33 PM,134.99,223.63,60.36%
30,08/11/2021 1:48 PM,134.99,231.63,58.28%
31,08/11/2021 2:05 PM,151.83,240.62,63.10%
32,08/11/2021 2:18 PM,153.33,247.63,61.92%
33,08/11/2021 2:33 PM,154.58,255.62,60.47%
34,08/11/2021 2:48 PM,154.58,262.28,58.94%
35,08/11/2021 3:03 PM,154.58,269.03,57.46%
36,08/11/2021 3:18 PM,180.03,275.78,65.28%
37,08/11/2021 3:33 PM,200.59,282.55,70.99%
38,08/11/2021 3:49 PM,203.51,289.45,70.31%
39,08/11/2021 4:03 PM,203.51,296.2,68.71%
40,08/11/2021 4:18 PM,210.02,303.07,69.30%
41,08/11/2021 4:33 PM,229.24,310.15,73.91%
42,08/11/2021 4:48 PM,229.24,312.45,73.37%
43,08/11/2021 5:03 PM,229.24,314.72,72.84%
44,08/11/2021 5:18 PM,229.24,317.22,72.27%
45,08/11/2021 5:33 PM,229.24,319.72,71.70%
46,08/11/2021 5:48 PM,229.24,322.22,71.14%
47,08/11/2021 6:04 PM,229.24,324.87,70.56%
48,08/11/2021 6:18 PM,229.24,327.22,70.06%
49,08/11/2021 6:34 PM,229.94,329.87,69.71%
50,08/11/2021 6:48 PM,229.94,332.22,69.21%
51,08/11/2021 7:03 PM,229.94,334.72,68.70%
52,08/11/2021 7:18 PM,229.94,337.22,68.19%
53,08/11/2021 7:33 PM,233.76,339.72,68.81%
54,08/11/2021 7:48 PM,233.76,342.22,68.31%
55,08/11/2021 8:03 PM,233.76,344.72,67.81%
56,08/11/2021 8:18 PM,233.76,347.22,67.32%
57,08/11/2021 8:33 PM,233.76,349.72,66.84%
58,08/11/2021 8:48 PM,234.9,352.22,66.69%
59,08/11/2021 9:03 PM,234.9,354.72,66.22%
60,08/11/2021 9:18 PM,234.9,357.22,65.76%
61,08/11/2021 9:33 PM,236.14,359.7,65.65%
62,08/11/2021 9:48 PM,236.14,361.95,65.24%
63,08/11/2021 10:03 PM,237.11,364.2,65.10%
64,08/11/2021 10:18 PM,237.11,366.68,64.66%
65,08/11/2021 10:33 PM,237.11,368.89,64.28%
66,08/11/2021 10:48 PM,237.11,370.4,64.01%
67,08/11/2021 11:04 PM,237.11,371.9,63.76%
68,08/11/2021 11:18 PM,237.11,373.66,63.46%
69,08/11/2021 11:33 PM,237.11,375.68,63.11%
70,08/11/2021 11:48 PM,237.11,377.93,62.74%
