,Date,Tons,Earned,Actual,Efficiency
0,11/09/2021 5:34 AM,0.0,0.0,0.02,0.00%
1,11/09/2021 5:49 AM,0.0,0.0,0.58,0.00%
2,11/09/2021 6:04 AM,0.0,0.0,4.16,0.00%
3,11/09/2021 6:20 AM,0.0,0.0,12.8,0.00%
4,11/09/2021 6:34 AM,0.0,0.0,20.55,0.00%
5,11/09/2021 7:13 AM,0.0,0.0,44.4,0.00%
6,11/09/2021 7:27 AM,0.0,0.0,53.9,0.00%
7,11/09/2021 8:04 AM,0.57,6.95,77.45,8.97%
8,11/09/2021 8:19 AM,0.57,6.95,86.95,7.99%
9,11/09/2021 8:34 AM,0.57,6.95,96.45,7.20%
10,11/09/2021 8:49 AM,0.57,6.95,106.18,6.54%
11,11/09/2021 9:04 AM,0.57,6.95,115.93,5.99%
12,11/09/2021 9:19 AM,0.57,6.95,125.68,5.53%
13,11/09/2021 9:42 AM,0.57,6.95,140.52,4.94%
14,11/09/2021 10:19 AM,2.29,28.06,164.66,17.04%
15,11/09/2021 10:34 AM,2.29,28.06,174.15,16.11%
16,11/09/2021 10:49 AM,2.29,28.06,183.65,15.28%
17,11/09/2021 11:04 AM,2.29,28.06,193.15,14.53%
18,11/09/2021 11:19 AM,2.29,28.06,202.65,13.85%
19,11/09/2021 11:34 AM,2.29,28.06,212.11,13.23%
20,11/09/2021 12:04 PM,2.29,28.06,227.98,12.31%
21,11/09/2021 12:19 PM,2.29,28.06,228.82,12.26%
22,11/09/2021 12:34 PM,2.29,28.06,231.38,12.13%
23,11/09/2021 12:49 PM,2.29,28.06,240.65,11.66%
24,11/09/2021 1:04 PM,2.29,28.06,250.15,11.22%
25,11/09/2021 1:20 PM,3.3,40.42,259.65,15.57%
26,11/09/2021 1:34 PM,3.3,40.42,269.15,15.02%
27,11/09/2021 1:49 PM,3.3,40.42,278.46,14.51%
28,11/09/2021 2:19 PM,3.3,40.42,296.96,13.61%
29,11/09/2021 2:34 PM,6.3,77.21,306.21,25.21%
30,11/09/2021 2:49 PM,8.51,104.31,315.19,33.10%
31,11/09/2021 3:04 PM,8.51,104.31,324.19,32.18%
32,11/09/2021 3:19 PM,8.51,104.31,333.19,31.31%
33,11/09/2021 3:49 PM,8.51,104.31,351.96,29.64%
34,11/09/2021 4:20 PM,8.51,104.31,370.19,28.18%
35,11/09/2021 4:34 PM,8.51,104.31,379.02,27.52%
36,11/09/2021 5:34 PM,10.15,125.15,395.09,31.68%
37,11/09/2021 5:49 PM,10.15,125.15,398.56,31.40%
38,11/09/2021 6:04 PM,10.15,125.15,402.06,31.13%
39,11/09/2021 6:19 PM,10.15,125.15,405.56,30.86%
40,11/09/2021 6:34 PM,10.15,125.15,409.06,30.60%
41,11/09/2021 6:49 PM,10.15,125.15,412.02,30.38%
42,11/09/2021 7:04 PM,10.15,125.15,415.02,30.16%
43,11/09/2021 7:19 PM,10.15,125.15,418.0,29.94%
44,11/09/2021 7:34 PM,10.15,125.15,420.75,29.75%
45,11/09/2021 7:51 PM,10.15,125.15,423.5,29.55%
46,11/09/2021 8:06 PM,10.15,125.15,426.19,29.37%
47,11/09/2021 8:49 PM,12.01,147.93,431.44,34.29%
48,11/09/2021 9:05 PM,12.01,147.93,433.19,34.15%
49,11/09/2021 9:19 PM,12.01,147.93,434.92,34.01%
50,11/09/2021 9:35 PM,12.01,147.93,436.4,33.90%
51,11/09/2021 10:06 PM,12.08,149.08,439.19,33.95%
52,11/09/2021 10:21 PM,12.08,149.08,440.94,33.81%
53,11/09/2021 10:36 PM,12.08,149.08,442.61,33.68%
54,11/09/2021 10:49 PM,12.08,149.08,443.36,33.63%
55,11/09/2021 11:05 PM,12.08,149.08,444.19,33.56%
56,11/09/2021 11:19 PM,12.08,149.08,445.94,33.43%
57,11/09/2021 11:51 PM,12.08,149.08,449.44,33.17%
