,Date,Tons,Earned,Actual,Efficiency
0,09/29/2021 5:48 AM,7.09,87.14,14.83,587.61%
1,09/29/2021 6:03 AM,7.09,87.14,20.07,434.20%
2,09/29/2021 6:18 AM,7.28,92.23,25.32,364.28%
3,09/29/2021 6:33 AM,7.28,92.23,30.59,301.52%
4,09/29/2021 6:48 AM,7.28,92.23,35.94,256.64%
5,09/29/2021 7:03 AM,7.28,92.23,41.36,223.01%
6,09/29/2021 7:18 AM,7.28,92.23,46.63,197.80%
7,09/29/2021 7:33 AM,7.28,92.23,52.01,177.34%
8,09/29/2021 7:47 AM,7.53,95.8,57.58,166.37%
9,09/29/2021 8:03 AM,7.53,95.8,63.32,151.29%
10,09/29/2021 8:18 AM,7.53,95.8,69.07,138.70%
11,09/29/2021 8:33 AM,7.53,95.8,74.67,128.29%
12,09/29/2021 8:48 AM,7.53,95.8,79.93,119.85%
13,09/29/2021 9:03 AM,7.53,95.8,85.21,112.42%
14,09/29/2021 9:18 AM,7.53,95.8,90.83,105.47%
15,09/29/2021 9:33 AM,14.38,177.13,97.05,182.52%
16,09/29/2021 9:48 AM,14.38,177.13,103.17,171.69%
17,09/29/2021 10:03 AM,14.38,177.22,109.12,162.41%
18,09/29/2021 10:18 AM,14.4,177.4,114.61,154.79%
19,09/29/2021 10:33 AM,14.4,177.4,119.65,148.27%
20,09/29/2021 10:48 AM,14.4,177.4,124.66,142.31%
21,09/29/2021 11:03 AM,23.23,282.28,129.66,217.71%
22,09/29/2021 11:18 AM,23.23,282.28,131.64,214.43%
23,09/29/2021 11:33 AM,23.23,282.28,133.68,211.16%
24,09/29/2021 11:48 AM,28.9,349.73,139.19,251.26%
25,09/29/2021 12:03 PM,28.9,349.73,144.69,241.71%
26,09/29/2021 12:19 PM,28.9,349.73,150.02,233.12%
27,09/29/2021 12:33 PM,28.9,349.73,155.75,224.54%
28,09/29/2021 12:48 PM,28.9,349.73,161.25,216.89%
29,09/29/2021 1:03 PM,28.9,349.73,166.77,209.71%
30,09/29/2021 1:18 PM,28.9,349.73,172.52,202.72%
31,09/29/2021 1:33 PM,28.9,349.73,178.25,196.20%
32,09/29/2021 1:48 PM,28.9,349.73,183.75,190.33%
33,09/29/2021 2:03 PM,28.9,349.73,189.25,184.80%
34,09/29/2021 2:18 PM,28.9,349.73,194.75,179.58%
35,09/29/2021 2:33 PM,28.9,349.73,200.25,174.65%
36,09/29/2021 2:48 PM,29.46,368.76,205.75,179.23%
37,09/29/2021 3:03 PM,29.46,368.76,211.23,174.58%
38,09/29/2021 3:22 PM,29.8,373.56,216.46,172.58%
39,09/29/2021 3:33 PM,29.8,373.56,221.35,168.77%
40,09/29/2021 3:48 PM,29.8,373.56,222.42,167.95%
41,09/29/2021 4:03 PM,29.8,373.56,223.13,167.42%
42,09/29/2021 4:18 PM,29.8,373.56,224.4,166.47%
43,09/29/2021 4:33 PM,29.8,373.56,225.4,165.73%
44,09/29/2021 4:48 PM,29.8,373.56,226.4,165.00%
45,09/29/2021 5:03 PM,29.8,373.56,227.79,163.99%
46,09/29/2021 5:18 PM,29.8,373.56,229.29,162.92%
47,09/29/2021 5:33 PM,29.8,373.56,230.79,161.86%
48,09/29/2021 5:48 PM,29.8,373.56,232.03,161.00%
49,09/29/2021 6:03 PM,29.8,373.56,233.28,160.14%
50,09/29/2021 6:18 PM,29.8,373.56,234.53,159.28%
51,09/29/2021 6:33 PM,29.8,373.56,235.78,158.44%
52,09/29/2021 6:48 PM,29.8,373.56,237.03,157.60%
53,09/29/2021 7:03 PM,29.8,373.56,238.28,156.78%
54,09/29/2021 7:18 PM,29.8,373.56,239.53,155.96%
55,09/29/2021 7:33 PM,29.8,373.56,240.78,155.15%
56,09/29/2021 7:48 PM,29.8,373.56,242.03,154.35%
57,09/29/2021 8:03 PM,29.8,373.56,243.28,153.55%
58,09/29/2021 8:17 PM,29.8,373.56,244.53,152.77%
59,09/29/2021 8:33 PM,29.8,373.56,245.78,151.99%
60,09/29/2021 8:48 PM,29.8,373.56,247.03,151.22%
61,09/29/2021 9:04 PM,29.8,373.56,248.05,150.60%
62,09/29/2021 9:18 PM,29.799675,373.563599,249.01,1.500195169
63,09/29/2021 9:32 PM,29.799675,373.563599,250.01,1.494194628
64,09/29/2021 9:48 PM,29.799675,373.563599,250.97,1.488479097
65,09/29/2021 10:03 PM,29.799675,373.563599,251.43,1.485755872
66,09/29/2021 10:18 PM,29.799675,373.563599,251.47,1.485519541
67,09/29/2021 10:33 PM,29.799675,373.563599,252.01,1.482336411
68,09/29/2021 10:47 PM,29.8,373.56,253.01,147.65%
69,09/29/2021 11:02 PM,29.8,373.56,254.01,147.07%
70,09/29/2021 11:18 PM,29.8,373.56,255.01,146.49%
71,09/29/2021 11:33 PM,29.8,373.56,256.01,145.92%
72,09/29/2021 11:48 PM,29.8,373.56,257.01,145.35%
