,Date,Tons,Earned,Actual,Efficiency
0,10/01/2021 9:37 AM,1.72,25.87,106.17,24.37%
1,10/01/2021 2:38 PM,3.13,47.26,195.04,24.23%
2,10/01/2021 7:38 PM,6.3,99.31,233.49,42.53%
3,10/02/2021 10:38 AM,11.25,184.21,290.12,63.50%
4,10/02/2021 3:37 PM,11.25,184.21,291.32,63.23%
5,10/02/2021 8:37 PM,11.25,184.21,291.32,63.23%
6,10/04/2021 7:37 AM,11.44,187.66,347.8,53.96%
7,10/04/2021 12:39 PM,12.75,219.92,451.34,48.73%
8,10/04/2021 5:38 PM,18.81,364.15,518.79,70.19%
9,10/04/2021 10:38 PM,22.33,461.32,549.72,83.92%
10,10/05/2021 8:38 AM,25.1,542.6,637.38,85.13%
11,10/05/2021 1:38 PM,30.61,703.49,748.0,94.05%
12,10/05/2021 6:38 PM,31.75,736.9,818.22,90.06%
13,10/05/2021 11:38 PM,39.14,847.62,860.25,98.53%
14,10/06/2021 9:38 AM,41.05,884.94,939.94,94.15%
15,10/06/2021 2:38 PM,50.23,1088.18,1056.81,102.97%
16,10/06/2021 7:38 PM,59.75,1234.47,1105.91,111.63%
17,10/07/2021 10:38 AM,71.31,1376.78,1265.3,108.81%
18,10/07/2021 3:39 PM,83.29,1546.73,1368.11,113.06%
19,10/07/2021 8:38 PM,92.17,1655.52,1399.74,118.27%
20,10/08/2021 11:39 AM,117.23,1987.74,1586.24,125.31%
21,10/08/2021 4:38 PM,123.46,2064.19,1658.44,124.47%
22,10/08/2021 9:38 PM,130.79,2154.03,1726.59,124.76%
23,10/09/2021 12:38 PM,131.43,2161.91,1793.01,120.57%
24,10/09/2021 5:38 PM,131.43,2161.91,1798.01,120.24%
25,10/09/2021 10:38 PM,131.43,2161.91,1803.01,119.91%
26,10/11/2021 2:38 PM,144.43,2325.12,2064.87,112.60%
27,10/11/2021 7:38 PM,151.07,2422.43,2132.41,113.60%
28,10/12/2021 3:38 PM,175.28,2770.32,2292.83,120.83%
29,10/12/2021 8:38 PM,184.29,2908.14,2340.78,124.24%
30,10/13/2021 6:38 AM,187.07,2950.8,2414.29,122.22%
31,10/15/2021 9:55 AM,245.86,3693.09,3111.53,118.69%
32,10/15/2021 2:39 PM,257.53,3838.14,3189.9,120.32%
33,10/15/2021 8:08 PM,264.2,3918.94,3258.38,120.27%
34,10/16/2021 5:37 AM,264.47,3922.25,3284.26,119.43%
35,10/16/2021 3:37 PM,264.47,3922.25,3313.26,118.38%
36,10/16/2021 8:36 PM,264.47,3922.25,3313.26,118.38%
37,10/18/2021 7:53 AM,265.81,3934.19,3381.07,116.36%
38,10/18/2021 5:52 PM,273.73,4033.36,3556.84,113.40%
39,10/18/2021 10:53 PM,278.75,4094.9,3595.43,113.89%
40,10/19/2021 8:53 AM,282.07,4139.29,3701.56,111.83%
41,10/19/2021 6:52 PM,292.16,4272.47,3885.73,109.95%
42,10/19/2021 11:51 PM,294.3,4298.68,3895.49,110.35%
43,10/20/2021 9:52 AM,296.86,4333.55,4026.28,107.63%
44,10/20/2021 7:52 PM,308.08,4483.05,4171.58,107.47%
45,10/21/2021 5:52 AM,311.13,4520.43,4220.02,107.12%
46,10/21/2021 10:52 AM,315.82,4580.77,4328.2,105.84%
47,10/21/2021 9:22 PM,336.01,4842.21,4480.65,108.07%
48,10/22/2021 6:52 AM,339.19,4881.64,4545.9,107.39%
49,10/22/2021 11:54 AM,339.19,4881.64,4644.57,105.10%
50,10/22/2021 9:52 PM,346.53,4971.68,4759.11,104.47%
51,10/23/2021 7:52 AM,346.53,4971.68,4796.75,103.65%
52,10/23/2021 12:52 PM,346.53,4971.68,4817.94,103.19%
53,10/23/2021 10:52 PM,346.53,4971.68,4827.94,102.98%
54,10/25/2021 9:53 AM,348.65,4999.13,4955.84,100.87%
55,10/25/2021 2:52 PM,358.19,5116.13,5061.94,101.07%
56,10/26/2021 10:52 AM,390.35,5510.45,5305.86,103.86%
57,10/26/2021 3:53 PM,395.3,5571.22,5419.68,102.80%
58,10/27/2021 6:52 AM,411.35,5765.37,5542.07,104.03%
59,10/27/2021 11:52 AM,413.9,5796.62,5652.17,102.56%
60,10/27/2021 4:53 PM,420.49,5877.45,5779.96,101.69%
61,10/28/2021 7:52 AM,429.08,5985.31,5903.74,101.38%
62,10/28/2021 12:53 PM,432.53,6029.33,6023.26,100.10%
63,10/28/2021 5:52 PM,440.41,6126.33,6110.73,100.26%
64,10/29/2021 8:52 AM,456.94,6348.43,6270.84,101.24%
65,10/29/2021 1:52 PM,458.83,6375.95,6352.18,100.37%
66,10/29/2021 6:52 PM,463.85,6453.15,6400.96,100.82%
67,10/30/2021 9:52 AM,474.53,6733.74,6486.91,103.81%
68,10/30/2021 2:52 PM,475.07,6741.68,6505.64,103.63%
69,10/30/2021 7:53 PM,475.07,6741.68,6515.65,103.47%
