,Date,Tons,Earned,Actual,Efficiency
0,11/01/2021 7:23 AM,0.0,0.0,45.51,0.00%
1,11/01/2021 11:51 AM,0.0,0.0,214.33,0.00%
2,11/01/2021 4:51 PM,5.77,75.23,360.98,20.84%
3,11/01/2021 9:51 PM,21.44,268.83,415.83,64.65%
4,11/02/2021 7:51 AM,27.74,346.01,517.34,66.88%
5,11/02/2021 12:52 PM,49.56,617.59,703.72,87.76%
6,11/02/2021 5:51 PM,56.45,702.13,878.79,79.90%
7,11/02/2021 10:51 PM,56.45,702.13,926.42,75.79%
8,11/03/2021 8:52 AM,56.45,702.13,1058.09,66.36%
9,11/05/2021 3:54 PM,137.22,1710.71,2170.3,78.82%
10,11/05/2021 8:57 PM,137.22,1710.71,2211.75,77.35%
11,11/06/2021 11:55 AM,139.71,1745.12,2370.65,73.61%
12,11/06/2021 4:56 PM,147.48,1840.35,2443.91,75.30%
13,11/06/2021 9:53 PM,150.1,1872.41,2480.94,75.47%
14,11/08/2021 1:54 PM,156.5,1950.9,2791.32,69.89%
15,11/08/2021 6:53 PM,163.74,2039.71,2930.8,69.60%
16,11/09/2021 3:09 PM,174.12,2166.9,3318.8,65.29%
17,11/09/2021 8:12 PM,175.75,2187.74,3418.71,63.99%
18,11/10/2021 6:17 AM,177.69,2211.67,3456.2,63.99%
19,11/10/2021 4:18 PM,191.57,2376.77,3806.72,62.44%
20,11/10/2021 9:11 PM,191.57,2391.63,3870.75,61.79%
21,11/11/2021 7:17 AM,192.26,2400.22,3911.22,61.37%
22,11/11/2021 5:09 PM,203.04,2532.62,4265.44,59.38%
23,11/11/2021 10:09 PM,206.89,2579.86,4324.14,59.66%
24,11/12/2021 8:09 AM,206.89,2579.86,4418.27,58.39%
25,11/12/2021 6:12 PM,210.41,2627.79,4874.05,53.91%
26,11/12/2021 11:20 PM,210.89,2634.93,4906.2,53.71%
27,11/13/2021 7:11 PM,229.13,2867.0,5173.14,55.42%
28,11/15/2021 6:09 AM,229.13,2867.0,5263.4,54.47%
29,11/15/2021 11:17 AM,233.2,2926.02,5356.21,54.63%
30,11/16/2021 7:09 AM,260.75,3273.05,5622.9,58.21%
31,11/16/2021 10:12 PM,320.94,4037.89,6005.04,67.24%
32,11/17/2021 8:09 AM,325.07,4092.73,6081.67,67.30%
33,11/17/2021 1:10 PM,328.4,4131.25,6250.12,66.10%
34,11/17/2021 11:09 PM,336.6,4244.48,6462.33,65.68%
35,11/18/2021 9:09 AM,343.34,4327.04,6600.42,65.56%
36,11/18/2021 2:09 PM,345.23,4350.18,6779.34,64.17%
37,11/19/2021 5:09 AM,358.58,4531.64,6980.45,64.92%
38,11/19/2021 10:09 AM,366.91,4634.58,7015.37,66.06%
39,11/19/2021 3:10 PM,370.86,4688.9,7174.89,65.35%
40,11/20/2021 6:09 AM,376.05,4752.56,7232.27,65.71%
41,11/20/2021 11:09 AM,376.8,4761.79,7358.46,64.71%
42,11/20/2021 4:09 PM,381.81,4834.11,7403.41,65.30%
43,11/22/2021 8:27 AM,397.31,5036.7,7531.01,66.88%
44,11/22/2021 1:09 PM,402.63,5114.7,7677.32,66.62%
45,11/22/2021 6:09 PM,403.65,5127.17,7811.48,65.64%
46,11/23/2021 9:09 AM,406.88,5174.48,7979.95,64.84%
47,11/23/2021 2:10 PM,409.75,5212.11,8158.67,63.88%
48,11/23/2021 7:10 PM,413.6,5263.17,8258.27,63.73%
49,11/24/2021 10:09 AM,425.64,5425.2,8440.12,64.28%
50,11/24/2021 3:09 PM,430.19,5489.11,8579.66,63.98%
51,11/24/2021 8:09 PM,430.19,5489.11,8646.82,63.48%
52,11/29/2021 10:10 AM,433.34,5535.65,8982.24,61.63%
53,11/29/2021 3:10 PM,443.46,5686.98,9146.62,62.18%
54,11/29/2021 8:10 PM,446.17,5726.39,9238.63,61.98%
55,11/30/2021 11:10 AM,451.0,5788.93,9435.57,61.35%
56,11/30/2021 4:10 PM,457.48,5868.89,9561.29,61.38%
57,11/30/2021 9:10 PM,457.48,5868.89,9624.45,60.98%
