,Date,Tons,Earned,Actual,Efficiency
0,10/01/2021 9:37 AM,4.35,45.22,108.45,41.70%
1,10/01/2021 2:38 PM,17.72,182.67,192.41,94.94%
2,10/01/2021 7:38 PM,17.72,182.67,215.61,84.72%
3,10/02/2021 10:38 AM,17.72,182.67,254.33,71.82%
4,10/02/2021 3:37 PM,17.72,182.67,264.13,69.16%
5,10/02/2021 8:37 PM,17.72,182.67,274.1,66.64%
6,10/04/2021 7:37 AM,24.93,267.25,340.69,78.44%
7,10/04/2021 12:39 PM,30.48,352.1,428.99,82.08%
8,10/04/2021 5:38 PM,37.12,431.54,430.7,100.20%
9,10/04/2021 10:38 PM,37.12,431.54,458.32,94.16%
10,10/05/2021 8:38 AM,38.03,441.79,542.9,81.38%
11,10/05/2021 1:38 PM,38.03,441.79,625.59,70.62%
12,10/05/2021 6:38 PM,43.94,504.96,681.08,74.14%
13,10/05/2021 11:38 PM,43.94,504.96,708.0,71.32%
14,10/06/2021 9:38 AM,43.94,504.96,799.35,63.17%
15,10/06/2021 2:38 PM,47.33,539.78,876.07,61.61%
16,10/06/2021 7:38 PM,47.33,539.78,919.72,58.69%
17,10/07/2021 10:38 AM,53.03,619.92,1050.24,59.03%
18,10/07/2021 3:39 PM,55.61,665.73,1164.74,57.16%
19,10/07/2021 8:38 PM,55.61,665.73,1210.28,55.01%
20,10/08/2021 11:39 AM,66.42,803.77,1354.29,59.35%
21,10/08/2021 4:38 PM,73.18,874.54,1430.51,61.14%
22,10/08/2021 9:38 PM,73.18,874.54,1462.11,59.81%
23,10/09/2021 12:38 PM,73.18,874.54,1499.71,58.31%
24,10/09/2021 5:38 PM,73.18,874.54,1499.71,58.31%
25,10/09/2021 10:38 PM,73.18,874.54,1499.71,58.31%
26,10/11/2021 2:38 PM,75.01,923.04,1659.35,55.63%
27,10/11/2021 7:38 PM,95.2,1474.61,1705.8,86.45%
28,10/12/2021 3:38 PM,99.3,1561.37,1987.21,78.57%
29,10/12/2021 8:38 PM,99.3,1561.37,1994.37,78.29%
30,10/13/2021 6:38 AM,99.3,1561.37,2059.11,75.83%
31,10/15/2021 9:55 AM,109.19,1803.74,2434.92,74.08%
32,10/15/2021 2:39 PM,115.02,1885.95,2510.41,75.13%
33,10/15/2021 8:08 PM,115.7,1892.96,2536.69,74.62%
34,10/16/2021 5:37 AM,115.7,1892.96,2541.99,74.47%
35,10/16/2021 3:37 PM,115.7,1892.96,2603.82,72.70%
36,10/16/2021 8:36 PM,115.7,1892.96,2603.82,72.70%
37,10/18/2021 7:53 AM,115.7,1892.96,2646.5,71.53%
38,10/18/2021 5:52 PM,116.63,1915.62,2796.19,68.51%
39,10/18/2021 10:53 PM,116.63,1915.62,2832.69,67.63%
40,10/19/2021 8:53 AM,117.85,1928.13,2912.12,66.21%
41,10/19/2021 6:52 PM,127.45,2104.57,3040.12,69.23%
42,10/19/2021 11:51 PM,127.45,2104.57,3062.56,68.72%
43,10/20/2021 9:52 AM,150.61,2382.81,3161.8,75.36%
44,10/20/2021 7:52 PM,164.23,2528.42,3295.55,76.72%
45,10/21/2021 5:52 AM,166.1,2550.97,3342.61,76.32%
46,10/21/2021 10:52 AM,169.26,2583.42,3429.76,75.32%
47,10/21/2021 9:22 PM,172.43,2616.07,3520.37,74.31%
48,10/22/2021 6:52 AM,172.43,2616.07,3570.81,73.26%
49,10/22/2021 11:54 AM,174.11,2637.08,3659.51,72.06%
50,10/22/2021 9:52 PM,176.45,2661.16,3723.7,71.47%
51,10/23/2021 7:52 AM,176.45,2661.16,3751.18,70.94%
52,10/23/2021 12:52 PM,177.13,2668.07,3774.03,70.70%
53,10/23/2021 10:52 PM,177.13,2668.07,3794.02,70.32%
54,10/25/2021 9:53 AM,178.4,2683.17,3881.54,69.13%
55,10/25/2021 2:52 PM,194.92,2912.12,3945.11,73.82%
56,10/26/2021 10:52 AM,201.84,2983.35,4098.26,72.80%
57,10/26/2021 3:53 PM,206.61,3029.17,4190.29,72.29%
58,10/27/2021 6:52 AM,206.61,3029.17,4240.11,71.44%
59,10/27/2021 11:52 AM,209.73,3061.24,4345.9,70.44%
60,10/27/2021 4:53 PM,213.52,3100.25,4429.25,69.99%
61,10/28/2021 7:52 AM,213.88,3103.89,4503.27,68.93%
62,10/28/2021 12:53 PM,218.03,3149.22,4610.97,68.30%
63,10/28/2021 5:52 PM,231.7,3340.47,4698.44,71.10%
64,10/29/2021 8:52 AM,233.99,3364.06,4771.79,70.50%
65,10/29/2021 1:52 PM,234.33,3372.32,4864.84,69.32%
66,10/29/2021 6:52 PM,234.33,3372.32,4881.82,69.08%
67,10/30/2021 9:52 AM,235.5,3384.38,4910.07,68.93%
68,10/30/2021 2:52 PM,235.5,3384.38,4918.99,68.80%
69,10/30/2021 7:53 PM,235.5,3384.38,4923.99,68.73%
