,Date,Tons,Earned,Actual,Efficiency
0,08/02/2021 4:36 AM,0.0,0.0,4.92,0.00%
1,08/02/2021 7:08 AM,0.39,3.2,47.87,6.68%
2,08/02/2021 8:24 AM,0.85,10.31,72.61,14.19%
3,08/02/2021 11:08 AM,2.04,33.92,125.82,26.96%
4,08/02/2021 1:46 PM,10.39,179.65,181.35,99.07%
5,08/02/2021 2:53 PM,10.95,188.77,197.85,95.41%
6,08/02/2021 4:09 PM,11.06,190.54,209.16,91.10%
7,08/02/2021 6:39 PM,11.44,196.69,230.86,85.20%
8,08/02/2021 7:54 PM,12.3,210.96,241.6,87.32%
9,08/02/2021 9:08 PM,12.3,210.96,251.5,83.88%
10,08/02/2021 11:38 PM,13.38,228.81,268.1,85.35%
11,08/03/2021 12:51 AM,13.89,237.05,277.82,85.33%
12,08/03/2021 2:38 PM,24.55,422.03,477.62,88.36%
13,08/03/2021 3:56 PM,26.99,464.82,490.73,94.72%
14,08/03/2021 5:08 PM,27.57,474.86,499.27,95.11%
15,08/03/2021 7:39 PM,28.26,486.9,522.4,93.21%
16,08/03/2021 8:54 PM,28.43,490.0,532.4,92.04%
17,08/03/2021 10:09 PM,29.19,503.22,538.12,93.52%
18,08/04/2021 12:37 AM,30.93,533.74,556.77,95.86%
19,08/04/2021 1:53 PM,31.83,549.49,757.39,72.55%
20,08/04/2021 4:23 PM,33.0,569.69,787.92,72.30%
21,08/04/2021 5:37 PM,33.39,576.42,796.24,72.39%
22,08/04/2021 6:54 PM,33.55,579.25,805.14,71.94%
23,08/04/2021 9:24 PM,33.92,585.67,822.7,71.19%
24,08/04/2021 10:39 PM,34.43,594.71,828.85,71.75%
25,08/04/2021 11:53 PM,34.52,596.32,835.1,71.41%
26,08/05/2021 2:22 AM,34.9,602.83,845.85,71.27%
27,08/05/2021 3:36 AM,34.9,602.83,845.85,71.27%
28,08/05/2021 4:52 AM,34.9,602.83,848.58,71.04%
29,08/05/2021 7:23 AM,35.19,608.01,890.6,68.27%
30,08/05/2021 9:53 AM,35.53,613.95,973.72,63.05%
31,08/05/2021 12:24 PM,35.53,613.95,1032.61,59.46%
32,08/05/2021 1:38 PM,36.06,622.98,1052.41,59.20%
33,08/05/2021 2:53 PM,36.18,625.06,1066.13,58.63%
34,08/05/2021 5:24 PM,41.0,699.4,1090.13,64.16%
35,08/05/2021 6:38 PM,41.09,700.98,1101.58,63.63%
36,08/05/2021 7:54 PM,41.15,702.12,1113.73,63.04%
37,08/05/2021 10:24 PM,41.83,713.99,1133.23,63.00%
38,08/05/2021 11:38 PM,41.91,715.28,1144.48,62.50%
39,08/06/2021 12:51 AM,42.05,717.78,1155.43,62.12%
40,08/06/2021 1:24 PM,44.16,750.47,1288.85,58.23%
41,08/06/2021 2:49 PM,45.34,770.97,1303.32,59.15%
42,08/06/2021 3:53 PM,46.73,795.34,1312.74,60.59%
43,08/06/2021 6:23 PM,48.54,827.02,1332.59,62.06%
44,08/06/2021 7:39 PM,48.81,831.75,1289.34,64.51%
45,08/06/2021 8:53 PM,49.76,848.3,1297.74,65.37%
46,08/06/2021 11:23 PM,50.41,859.68,1310.16,65.62%
47,08/07/2021 4:21 AM,50.41,859.68,1323.7,64.95%
48,08/07/2021 5:36 AM,50.41,859.68,1308.77,65.69%
49,08/07/2021 9:23 AM,50.41,859.68,1333.11,64.49%
50,08/07/2021 11:53 AM,50.41,859.68,1337.06,64.30%
51,08/07/2021 2:23 PM,50.41,859.68,1340.06,64.15%
52,08/07/2021 3:38 PM,50.41,859.68,1341.31,64.09%
53,08/07/2021 4:59 PM,50.41,859.68,1342.66,64.03%
54,08/07/2021 7:23 PM,50.41,859.68,1345.06,63.91%
55,08/07/2021 8:38 PM,50.41,859.68,1346.31,63.85%
56,08/08/2021 7:51 AM,50.41,859.68,1357.53,63.33%
57,08/08/2021 10:21 AM,50.41,859.68,1360.03,63.21%
58,08/08/2021 12:51 PM,50.41,859.68,1362.53,63.09%
59,08/08/2021 3:21 PM,50.41,859.68,1365.03,62.98%
60,08/08/2021 4:36 PM,50.41,859.68,1366.28,62.92%
61,08/08/2021 5:51 PM,50.41,859.68,1367.53,62.86%
62,08/08/2021 8:21 PM,50.41,859.68,1370.03,62.75%
63,08/08/2021 9:37 PM,50.41,859.68,1371.3,62.69%
64,08/08/2021 10:51 PM,50.41,859.68,1372.53,62.64%
