,Date,Tons,Earned,Actual,Efficiency
0,11/08/2021 7:39 AM,0.0,0.0,81.4,0.00%
1,11/08/2021 3:09 PM,3.98,48.82,363.37,13.44%
2,11/08/2021 4:40 PM,9.47,116.05,423.39,27.41%
3,11/08/2021 5:38 PM,11.03,135.23,436.33,30.99%
4,11/08/2021 8:10 PM,11.03,135.23,465.53,29.05%
5,11/09/2021 6:08 AM,12.9,158.1,519.22,30.45%
6,11/09/2021 8:53 AM,13.46,165.05,621.08,26.57%
7,11/09/2021 11:41 AM,15.19,186.17,728.21,25.57%
8,11/09/2021 1:53 PM,16.19,198.52,793.97,25.00%
9,11/09/2021 4:25 PM,21.4,262.42,886.29,29.61%
10,11/09/2021 5:38 PM,23.04,283.26,908.91,31.16%
11,11/09/2021 6:57 PM,23.04,283.26,925.51,30.61%
12,11/09/2021 9:40 PM,24.9,306.04,949.4,32.23%
13,11/09/2021 11:56 PM,24.98,307.19,962.73,31.91%
14,11/10/2021 7:40 AM,27.01,332.04,1027.61,32.31%
15,11/10/2021 8:47 AM,27.01,332.04,1070.96,31.00%
16,11/10/2021 9:53 AM,27.01,332.04,1107.25,29.99%
17,11/10/2021 12:32 PM,31.68,389.37,1177.88,33.06%
18,11/10/2021 3:01 PM,36.3,456.53,1264.38,36.11%
19,11/10/2021 5:23 PM,38.86,487.15,1346.66,36.17%
20,11/10/2021 6:39 PM,38.86,487.15,1363.94,35.72%
21,11/10/2021 7:54 PM,38.86,487.15,1378.59,35.34%
22,11/10/2021 10:32 PM,38.86,487.15,1404.07,34.70%
23,11/11/2021 5:54 AM,38.86,487.15,1439.77,33.84%
24,11/11/2021 8:40 AM,39.55,495.74,1484.79,33.39%
25,11/11/2021 9:38 AM,39.55,495.74,1521.34,32.59%
26,11/11/2021 10:58 AM,40.29,505.01,1569.58,32.17%
27,11/11/2021 1:25 PM,40.33,505.6,1647.6,30.69%
28,11/11/2021 2:39 PM,41.39,518.63,1694.38,30.61%
29,11/11/2021 3:53 PM,50.32,628.14,1741.33,36.07%
30,11/11/2021 6:40 PM,51.1,637.65,1808.37,35.26%
31,11/11/2021 7:39 PM,53.5,667.03,1820.26,36.65%
32,11/11/2021 8:53 PM,54.18,675.38,1833.56,36.83%
33,11/11/2021 11:40 PM,54.18,675.38,1856.14,36.39%
34,11/12/2021 5:38 AM,54.18,675.38,1876.8,35.99%
35,11/12/2021 10:39 AM,55.92,696.76,2029.09,34.34%
36,11/12/2021 11:53 AM,55.92,696.76,2071.67,33.63%
37,11/12/2021 2:40 PM,57.7,723.31,2250.22,32.14%
38,11/12/2021 3:39 PM,57.7,723.31,2257.26,32.04%
39,11/12/2021 8:41 PM,57.7,723.31,2302.68,31.41%
40,11/12/2021 9:55 PM,58.18,730.45,2310.37,31.62%
41,11/13/2021 6:56 AM,58.18,730.45,2360.88,30.94%
42,11/13/2021 7:54 AM,58.18,730.45,2392.11,30.54%
43,11/13/2021 10:25 AM,58.22,731.13,2456.62,29.76%
44,11/13/2021 11:38 AM,59.15,745.04,2493.99,29.87%
45,11/13/2021 12:53 PM,59.26,746.72,2512.11,29.72%
46,11/13/2021 3:24 PM,76.42,962.52,2547.95,37.78%
47,11/13/2021 4:40 PM,76.42,962.52,2556.84,37.64%
48,11/13/2021 5:53 PM,76.42,962.52,2576.31,37.36%
49,11/13/2021 8:40 PM,76.42,962.52,2593.47,37.11%
50,11/13/2021 9:40 PM,76.42,962.52,2597.97,37.05%
51,11/13/2021 10:54 PM,76.42,962.52,2604.0,36.96%
