,Date,Tons,Earned,Actual,Efficiency
0,08/30/2021 8:09 AM,0.0,0.0,47.19,0.00%
1,08/30/2021 9:24 AM,0.0,0.0,70.23,0.00%
2,08/30/2021 10:38 AM,0.0,0.0,93.4,0.00%
3,08/30/2021 1:08 PM,0.0,0.0,138.27,0.00%
4,08/30/2021 2:24 PM,0.0,0.0,164.29,0.00%
5,08/30/2021 3:39 PM,0.13,4.55,187.24,2.43%
6,08/30/2021 6:09 PM,33.9,839.65,206.75,406.12%
7,08/30/2021 7:24 PM,33.9,839.65,216.75,387.38%
8,08/30/2021 8:39 PM,33.9,839.65,226.75,370.30%
9,08/30/2021 11:09 PM,33.9,839.65,243.25,345.18%
10,08/31/2021 5:23 AM,36.51,888.52,267.05,332.72%
11,08/31/2021 6:38 AM,36.51,888.52,294.77,301.43%
12,08/31/2021 9:08 AM,36.51,888.52,352.67,251.94%
13,08/31/2021 10:23 AM,36.51,888.52,378.97,234.46%
14,08/31/2021 11:38 AM,36.51,888.52,396.82,223.91%
15,08/31/2021 2:08 PM,36.51,888.52,451.2,196.92%
16,08/31/2021 3:23 PM,36.51,888.52,476.7,186.39%
17,08/31/2021 4:38 PM,45.34,993.38,485.53,204.60%
18,08/31/2021 7:08 PM,45.34,993.38,506.18,196.25%
19,08/31/2021 8:23 PM,45.34,993.38,516.34,192.39%
20,08/31/2021 9:38 PM,45.34,993.38,525.74,188.95%
21,09/01/2021 6:23 AM,45.34,993.38,578.5,171.72%
22,09/01/2021 7:38 AM,45.34,993.38,605.22,164.14%
23,09/01/2021 10:09 AM,45.34,993.38,660.51,150.40%
24,09/01/2021 11:24 AM,45.34,993.38,679.6,146.17%
25,09/01/2021 12:38 PM,45.34,993.38,703.81,141.14%
26,09/01/2021 3:09 PM,45.34,993.38,756.67,131.28%
27,09/01/2021 4:23 PM,55.19,1133.36,769.95,147.20%
28,09/01/2021 5:38 PM,55.7,1142.83,780.35,146.45%
29,09/01/2021 8:09 PM,55.7,1142.83,800.35,142.79%
30,09/01/2021 9:23 PM,55.7,1142.83,810.35,141.03%
31,09/01/2021 10:39 PM,55.7,1142.83,817.01,139.88%
32,09/02/2021 6:09 AM,55.7,1142.83,853.19,133.95%
33,09/02/2021 7:23 AM,55.7,1142.83,884.69,129.18%
34,09/02/2021 8:38 AM,55.7,1142.83,916.12,124.75%
35,09/02/2021 11:08 AM,55.7,1142.83,975.04,117.21%
36,09/02/2021 12:24 PM,55.7,1142.83,997.81,114.53%
37,09/02/2021 1:38 PM,55.7,1142.83,1027.84,111.19%
38,09/02/2021 4:10 PM,70.76,1336.19,1078.87,123.85%
39,09/02/2021 5:25 PM,71.06,1337.03,1089.75,122.69%
40,09/02/2021 6:38 PM,71.06,1337.03,1099.66,121.59%
41,09/02/2021 9:09 PM,71.35,1347.01,1119.66,120.31%
42,09/02/2021 10:24 PM,71.35,1347.01,1126.82,119.54%
43,09/02/2021 11:40 PM,71.35,1347.01,1136.16,118.56%
44,09/03/2021 7:08 AM,71.35,1347.01,1217.26,110.66%
45,09/03/2021 8:24 AM,71.35,1347.01,1248.59,107.88%
46,09/03/2021 9:38 AM,71.35,1347.01,1278.45,105.36%
47,09/03/2021 12:10 PM,71.35,1347.01,1325.58,101.62%
48,09/03/2021 1:23 PM,71.35,1347.01,1363.49,98.79%
49,09/03/2021 2:38 PM,71.35,1347.01,1372.34,98.15%
50,09/03/2021 5:08 PM,71.35,1347.01,1385.09,97.25%
51,09/03/2021 6:24 PM,71.35,1347.01,1391.44,96.81%
52,09/03/2021 7:38 PM,71.35,1347.01,1395.19,96.55%
53,09/03/2021 10:08 PM,71.35,1347.01,1397.69,96.37%
54,09/03/2021 11:23 PM,71.35,1347.01,1398.94,96.29%
