Timestamp,Date,IsReal,Direct Hours,Indirect Hours,Total Hours,Number Employees,Tons,Quantity Pieces,Earned Hours,Efficiency
2024-10-15 04:38:00,10/13/2024,True,650.38,12.87,663.25,70.0,14.16,52.0,246.23,0.38
2024-10-15 04:54:00,10/13/2024,True,650.26,12.87,663.13,70.0,14.16,52.0,246.23,0.38
2024-10-15 05:10:00,10/13/2024,True,637.0,55.35,692.35,74.0,14.16,52.0,246.23,0.39
2024-10-15 05:22:00,10/13/2024,True,626.64,75.79,702.43,75.0,14.16,52.0,246.23,0.39
2024-10-15 05:37:00,10/13/2024,True,630.0,76.29,706.29,75.0,14.16,52.0,246.23,0.39
2024-10-15 05:53:00,10/13/2024,True,633.99,76.79,710.78,75.0,14.16,52.0,246.23,0.39
2024-10-15 06:09:00,10/13/2024,True,641.94,77.54,719.48,75.0,14.16,52.0,246.23,0.38
2024-10-15 06:23:00,10/13/2024,True,652.26,78.26,730.52,75.0,14.16,52.0,246.23,0.38
2024-10-15 06:39:00,10/13/2024,True,663.61,78.88,742.49,75.0,14.16,52.0,246.23,0.37
2024-10-15 06:53:00,10/13/2024,True,674.16,79.36,753.52,75.0,14.16,52.0,246.23,0.37
2024-10-15 07:07:00,10/13/2024,True,685.16,79.86,765.02,75.0,14.16,52.0,246.23,0.36
2024-10-15 07:25:00,10/13/2024,True,697.48,80.42,777.9,75.0,14.16,52.0,246.23,0.35
2024-10-15 07:39:00,10/13/2024,True,707.16,80.86,788.02,75.0,14.16,52.0,246.23,0.35
2024-10-15 07:53:00,10/13/2024,True,718.16,81.36,799.52,75.0,14.16,52.0,246.23,0.34
2024-10-15 08:08:00,10/13/2024,True,729.16,81.86,811.02,75.0,14.16,52.0,246.23,0.34
2024-10-15 08:23:00,10/13/2024,True,740.16,82.36,822.52,75.0,14.16,52.0,246.23,0.33
2024-10-15 08:37:00,10/13/2024,True,751.16,82.86,834.02,75.0,14.16,52.0,246.23,0.33
2024-10-15 08:53:00,10/13/2024,True,762.16,83.36,845.52,75.0,14.35,56.0,257.77,0.34
2024-10-15 09:11:00,10/13/2024,True,776.01,83.78,859.79,75.0,14.35,56.0,257.77,0.33
2024-10-15 09:23:00,10/13/2024,True,780.98,103.18,884.16,75.0,14.35,56.0,257.77,0.33
2024-10-15 09:39:00,10/13/2024,True,782.28,136.62,918.9,75.0,14.35,56.0,257.77,0.33
2024-10-15 09:53:00,10/13/2024,True,790.92,145.71,936.63,75.0,14.35,56.0,257.77,0.33
2024-10-15 10:08:00,10/13/2024,True,801.92,146.21,948.13,75.0,14.35,56.0,257.77,0.32
2024-10-15 10:23:00,10/13/2024,True,812.92,146.71,959.63,75.0,14.35,56.0,257.77,0.32
2024-10-15 10:39:00,10/13/2024,True,825.62,147.28,972.9,75.0,14.35,56.0,257.77,0.31
