,03/22/2021 11:59 PM,90.86%,18.61,289.4,262.94
0,03/23/2021 5:29 AM,0.00%,0.0,19.0,0.0
1,03/23/2021 5:44 AM,0.00%,0.0,24.7,0.0
2,03/23/2021 5:59 AM,0.00%,0.0,30.4,0.0
3,03/23/2021 6:14 AM,1.20%,0.03,36.2,0.43
4,03/23/2021 6:29 AM,1.03%,0.03,41.9,0.43
5,03/23/2021 6:44 AM,0.91%,0.03,47.7,0.43
6,03/23/2021 6:59 AM,5.34%,0.2,53.4,2.85
7,03/23/2021 7:14 AM,5.83%,0.24,59.2,3.45
8,03/23/2021 7:29 AM,6.50%,0.3,64.9,4.22
9,03/23/2021 7:44 AM,5.97%,0.3,70.7,4.22
10,03/23/2021 7:59 AM,89.49%,4.82,76.4,68.39
11,03/23/2021 8:14 AM,84.86%,4.91,82.2,69.73
12,03/23/2021 8:29 AM,79.31%,4.91,87.9,69.73
13,03/23/2021 8:44 AM,74.44%,4.91,93.7,69.73
14,03/23/2021 8:59 AM,74.21%,4.91,99.6,73.91
15,03/23/2021 9:14 AM,70.37%,4.93,105.8,74.44
16,03/23/2021 9:14 AM,70.37%,4.93,105.8,74.44
17,03/23/2021 9:59 AM,97.70%,8.15,123.6,120.78
18,03/23/2021 10:14 AM,94.10%,8.15,128.6,121.03
19,03/23/2021 10:29 AM,90.14%,8.15,134.5,121.28
20,03/23/2021 10:44 AM,86.74%,8.15,140.1,121.53
21,03/23/2021 10:59 AM,84.22%,8.15,144.4,121.6
22,03/23/2021 11:29 AM,80.78%,8.15,150.8,121.78
23,03/23/2021 11:44 AM,78.26%,8.15,155.9,122.03
24,03/23/2021 11:59 AM,75.55%,8.15,161.9,122.28
25,03/23/2021 12:14 PM,73.00%,8.15,167.9,122.53
26,03/23/2021 12:29 PM,70.56%,8.15,173.9,122.67
27,03/23/2021 12:44 PM,68.27%,8.15,179.7,122.67
28,03/23/2021 12:59 PM,66.15%,8.15,185.4,122.67
29,03/23/2021 1:14 PM,64.16%,8.15,191.2,122.67
30,03/23/2021 1:29 PM,62.27%,8.15,197.0,122.67
31,03/23/2021 2:26 PM,57.87%,8.34,216.7,125.42
32,03/23/2021 3:29 PM,54.43%,8.46,233.6,127.15
33,03/23/2021 3:44 PM,53.94%,8.46,235.7,127.15
