,Date,DL,Tons,Direct,Earned
0,05/17/2021 11:59 PM,41.95%,8.25,328.3,137.71
1,05/18/2021 5:28 AM,255.55%,4.06,24.0,61.25
2,05/18/2021 5:43 AM,205.43%,4.06,30.3,62.18
3,05/18/2021 5:59 AM,171.84%,4.06,36.8,63.18
4,05/18/2021 6:14 AM,148.33%,4.06,43.3,64.18
5,05/18/2021 6:29 AM,130.97%,4.06,49.8,65.18
6,05/18/2021 6:44 AM,117.62%,4.06,56.3,66.18
7,05/18/2021 6:59 AM,107.03%,4.06,62.8,67.18
8,05/18/2021 7:14 AM,98.43%,4.06,69.3,68.18
9,05/18/2021 7:29 AM,90.88%,4.06,76.2,69.25
10,05/18/2021 7:44 AM,85.31%,4.06,82.3,70.18
11,05/18/2021 7:59 AM,80.19%,4.06,88.8,71.18
12,05/18/2021 8:14 AM,81.74%,4.58,95.3,77.88
13,05/18/2021 8:29 AM,77.51%,4.58,101.8,78.88
14,05/18/2021 8:44 AM,73.78%,4.58,108.3,79.88
15,05/18/2021 8:59 AM,70.47%,4.58,114.8,80.88
16,05/18/2021 9:14 AM,67.52%,4.58,121.3,81.88
17,05/18/2021 9:29 AM,64.86%,4.58,127.8,82.88
18,05/18/2021 9:44 AM,62.47%,4.58,134.3,83.88
19,05/18/2021 9:58 AM,60.40%,4.58,140.2,84.7
20,05/18/2021 10:14 AM,58.42%,5.58,146.4,85.5
21,05/18/2021 10:29 AM,56.69%,5.58,152.5,86.45
22,05/18/2021 10:44 AM,55.22%,5.58,158.4,87.45
23,05/18/2021 10:59 AM,58.24%,6.13,163.0,94.92
24,05/18/2021 11:14 AM,57.48%,6.13,166.5,95.67
25,05/18/2021 11:29 AM,56.78%,6.13,170.3,96.67
26,05/18/2021 11:44 AM,55.70%,6.13,175.0,97.47
27,05/18/2021 11:59 AM,54.53%,6.13,180.0,98.17
28,05/18/2021 12:14 PM,53.44%,6.16,186.5,99.66
29,05/18/2021 12:29 PM,53.62%,6.35,192.8,103.36
30,05/18/2021 12:44 PM,52.44%,6.35,199.0,104.36
31,05/18/2021 12:59 PM,51.33%,6.35,205.3,105.36
32,05/18/2021 1:14 PM,50.32%,6.35,210.9,106.13
33,05/18/2021 1:29 PM,49.27%,6.35,216.9,106.88
34,05/18/2021 1:44 PM,48.40%,6.35,222.4,107.63
35,05/18/2021 1:58 PM,47.65%,6.35,227.4,108.38
36,05/18/2021 2:14 PM,46.92%,6.35,232.6,109.13
37,05/18/2021 2:29 PM,48.33%,6.7,237.4,114.71
38,05/18/2021 2:45 PM,48.33%,6.78,241.4,116.68
39,05/18/2021 2:59 PM,47.90%,6.78,245.2,117.43
40,05/18/2021 3:14 PM,47.55%,6.78,248.5,118.18
41,05/18/2021 3:29 PM,47.23%,6.78,251.7,118.88
42,05/18/2021 3:44 PM,47.02%,6.78,253.7,119.28
43,05/18/2021 3:59 PM,46.74%,6.78,255.3,119.33
44,05/18/2021 4:14 PM,46.34%,6.78,257.5,119.33
45,05/18/2021 4:29 PM,45.94%,6.78,259.8,119.33
46,05/18/2021 4:44 PM,45.74%,6.78,260.9,119.33
47,05/18/2021 4:59 PM,45.36%,6.78,263.1,119.33
48,05/18/2021 5:14 PM,44.97%,6.78,265.4,119.33
49,05/18/2021 5:29 PM,44.59%,6.78,267.6,119.33
50,05/18/2021 5:44 PM,44.22%,6.78,269.9,119.33
51,05/18/2021 5:59 PM,43.83%,6.78,272.3,119.33
52,05/18/2021 6:14 PM,43.47%,6.78,274.5,119.33
53,05/18/2021 6:29 PM,43.12%,6.78,276.8,119.33
54,05/18/2021 6:44 PM,42.80%,6.78,278.8,119.33
55,05/18/2021 6:59 PM,42.50%,6.78,280.8,119.33
56,05/18/2021 7:14 PM,42.22%,6.78,282.7,119.33
57,05/18/2021 7:29 PM,41.92%,6.78,284.7,119.33
58,05/18/2021 7:44 PM,41.61%,6.78,286.8,119.33
59,05/18/2021 7:59 PM,41.34%,6.78,288.7,119.33
60,05/18/2021 8:14 PM,41.05%,6.78,290.7,119.33
61,05/18/2021 8:29 PM,40.77%,6.78,292.7,119.33
62,05/18/2021 8:44 PM,40.48%,6.78,294.8,119.33
63,05/18/2021 8:59 PM,40.22%,6.78,296.7,119.33
64,05/18/2021 9:14 PM,39.95%,6.78,298.7,119.33
65,05/18/2021 9:29 PM,38.48%,6.78,310.1,119.33
66,05/18/2021 9:44 PM,38.33%,6.78,311.3,119.33
67,05/18/2021 9:59 PM,38.18%,6.78,312.5,119.33
68,05/18/2021 10:14 PM,38.08%,6.78,313.3,119.33
69,05/18/2021 10:29 PM,37.95%,6.78,314.4,119.33
70,05/18/2021 10:44 PM,37.76%,6.78,316.0,119.33
71,05/18/2021 10:59 PM,37.55%,6.78,317.8,119.33
72,05/18/2021 11:14 PM,37.35%,6.78,319.5,119.33
73,05/18/2021 11:29 PM,37.14%,6.78,321.3,119.33
74,05/18/2021 11:44 PM,36.93%,6.78,323.1,119.33
75,05/18/2021 11:59 PM,36.74%,6.78,324.8,119.33
