,Date,DL,Tons,Direct,Earned,EVA
0,06/12/2021 11:49 PM,14.01%,0.0,44.6,6.25,0.0
1,06/14/2021 5:34 AM,2.19%,0.03,20.2,0.44,0.0
2,06/14/2021 5:48 AM,1.74%,0.03,25.4,0.44,0.0
3,06/14/2021 6:04 AM,1.42%,0.03,31.2,0.44,0.0
4,06/14/2021 6:19 AM,1.22%,0.03,36.4,0.44,0.0
5,06/14/2021 6:34 AM,1.06%,0.03,41.9,0.44,0.0
6,06/14/2021 6:48 AM,4.21%,0.14,47.4,2.0,0.0
7,06/14/2021 7:04 AM,8.21%,0.29,53.2,4.37,0.0
8,06/14/2021 7:19 AM,7.44%,0.29,58.7,4.37,0.0
9,06/14/2021 7:34 AM,14.25%,0.59,64.2,9.15,0.0
10,06/14/2021 7:49 AM,13.20%,0.59,69.4,9.15,0.0
11,06/14/2021 8:04 AM,12.17%,0.59,75.2,9.15,0.0
12,06/14/2021 8:19 AM,11.39%,0.59,80.4,9.15,0.0
13,06/14/2021 8:34 AM,46.45%,2.5,86.2,40.06,0.0
14,06/14/2021 8:49 AM,53.35%,3.05,91.7,48.94,0.0
15,06/14/2021 9:04 AM,51.03%,3.09,97.2,49.62,0.0
16,06/14/2021 9:26 AM,47.76%,3.13,105.3,50.3,0.0
17,06/14/2021 9:34 AM,46.50%,3.13,108.2,50.3,0.0
18,06/14/2021 9:49 AM,44.46%,3.13,113.1,50.3,0.0
19,06/14/2021 10:05 AM,42.65%,3.13,117.9,50.3,0.0
20,06/14/2021 10:19 AM,40.92%,3.13,122.9,50.3,0.0
21,06/14/2021 10:35 AM,39.34%,3.13,127.8,50.3,0.0
22,06/14/2021 10:49 AM,38.05%,3.13,132.2,50.3,0.0
23,06/14/2021 11:05 AM,37.13%,3.13,135.5,50.3,0.0
24,06/14/2021 11:19 AM,38.10%,3.26,137.5,52.39,0.0
25,06/14/2021 11:34 AM,36.97%,3.26,141.7,52.39,0.0
26,06/14/2021 11:49 AM,35.65%,3.26,147.0,52.39,0.0
27,06/14/2021 12:04 PM,34.41%,3.26,152.2,52.39,0.0
28,06/14/2021 12:28 PM,35.05%,3.52,161.2,56.52,0.0
29,06/14/2021 12:37 PM,34.64%,3.52,163.2,56.52,0.0
30,06/14/2021 12:50 PM,33.38%,4.07,169.3,56.52,0.0
31,06/14/2021 1:04 PM,32.36%,4.07,174.7,56.52,0.0
32,06/14/2021 1:19 PM,31.26%,4.07,180.8,56.52,0.0
33,06/14/2021 1:34 PM,30.37%,4.07,186.1,56.52,0.0
34,06/14/2021 1:49 PM,29.66%,4.07,190.6,56.52,0.0
35,06/14/2021 2:04 PM,33.41%,4.61,195.7,65.36,0.0
36,06/14/2021 2:19 PM,48.03%,6.52,200.1,96.09,0.0
37,06/14/2021 2:34 PM,53.06%,7.27,204.0,108.24,0.0
38,06/14/2021 2:49 PM,56.34%,7.82,207.8,117.06,0.0
39,06/14/2021 3:04 PM,55.21%,7.82,212.0,117.06,0.0
40,06/14/2021 3:20 PM,54.40%,7.82,215.2,117.06,0.0
41,06/14/2021 3:34 PM,57.69%,8.37,218.2,125.91,0.0
42,06/14/2021 3:49 PM,57.04%,8.37,220.7,125.91,0.0
43,06/14/2021 4:04 PM,56.29%,8.37,223.7,125.91,0.0
44,06/14/2021 4:19 PM,55.61%,8.37,226.4,125.91,0.0
45,06/14/2021 4:35 PM,54.94%,8.37,229.2,125.91,0.0
46,06/14/2021 4:49 PM,54.33%,8.37,231.7,125.91,0.0
47,06/14/2021 5:04 PM,53.70%,8.37,234.5,125.91,0.0
48,06/14/2021 5:19 PM,53.03%,8.37,237.4,125.91,0.0
49,06/14/2021 5:34 PM,55.15%,8.82,240.0,132.36,0.0
50,06/14/2021 5:49 PM,54.53%,8.82,242.7,132.36,0.0
51,06/14/2021 6:05 PM,53.79%,8.82,246.1,132.36,0.0
52,06/14/2021 6:19 PM,53.19%,8.82,248.9,132.36,0.0
53,06/14/2021 6:34 PM,52.56%,8.82,251.9,132.36,0.0
54,06/14/2021 6:49 PM,52.31%,8.88,254.7,133.2,0.0
55,06/14/2021 7:04 PM,51.66%,8.88,257.9,133.2,0.0
56,06/14/2021 7:19 PM,51.06%,8.88,260.9,133.2,0.0
57,06/14/2021 7:35 PM,50.48%,8.88,263.9,133.2,0.0
58,06/14/2021 7:49 PM,50.60%,8.99,266.4,134.79,0.0
59,06/14/2021 8:04 PM,50.13%,8.99,268.9,134.79,0.0
60,06/14/2021 8:19 PM,52.83%,9.51,271.1,143.24,0.0
61,06/14/2021 8:34 PM,52.35%,9.51,273.6,143.24,0.0
62,06/14/2021 8:49 PM,51.80%,9.51,276.5,143.24,0.0
63,06/14/2021 9:05 PM,51.61%,9.57,279.0,144.02,0.0
64,06/14/2021 9:19 PM,51.18%,9.57,281.4,144.02,0.0
65,06/14/2021 9:35 PM,50.70%,9.57,284.1,144.02,0.0
66,06/14/2021 9:49 PM,50.54%,9.57,285.0,144.02,0.0
67,06/14/2021 10:04 PM,50.30%,9.57,286.3,144.02,0.0
68,06/14/2021 10:19 PM,49.82%,9.57,289.1,144.02,0.0
69,06/14/2021 10:34 PM,49.35%,9.57,291.8,144.02,0.0
70,06/14/2021 10:49 PM,48.89%,9.57,294.6,144.02,0.0
71,06/14/2021 11:05 PM,48.72%,9.63,297.3,144.87,0.0
72,06/14/2021 11:19 PM,48.28%,9.63,300.1,144.87,0.0
73,06/14/2021 11:34 PM,47.84%,9.63,302.8,144.87,0.0
74,06/14/2021 11:49 PM,47.44%,9.63,305.4,144.87,0.0
