,Date,DL,
0,07/22/2021 3:24 PM,48.00%,63
1,07/22/2021 3:55 PM,48.00%,63
2,07/22/2021 4:09 PM,48.00%,63
3,07/22/2021 4:25 PM,48.00%,63
4,07/22/2021 4:39 PM,48.00%,63
5,07/22/2021 4:54 PM,48.00%,63
6,07/22/2021 5:09 PM,48.00%,63
7,07/22/2021 5:25 PM,48.00%,63
8,07/22/2021 5:55 PM,52.00%,63
9,07/22/2021 6:09 PM,52.00%,63
10,07/22/2021 6:24 PM,52.00%,63
11,07/22/2021 6:39 PM,52.00%,63
12,07/22/2021 6:55 PM,52.00%,63
13,07/22/2021 7:09 PM,52.00%,63
14,07/22/2021 7:25 PM,51.00%,63
15,07/22/2021 7:39 PM,51.00%,63
16,07/22/2021 7:55 PM,51.00%,63
17,07/22/2021 8:09 PM,50.00%,63
18,07/22/2021 8:24 PM,50.00%,63
19,07/22/2021 8:40 PM,50.00%,63
20,07/22/2021 8:54 PM,50.00%,63
21,07/22/2021 9:09 PM,49.00%,63
22,07/22/2021 9:25 PM,49.00%,63
23,07/22/2021 9:40 PM,49.00%,63
24,07/22/2021 9:55 PM,49.00%,63
25,07/22/2021 10:09 PM,49.00%,63
26,07/22/2021 10:24 PM,48.00%,63
27,07/22/2021 10:39 PM,48.00%,63
28,07/22/2021 10:54 PM,48.00%,63
29,07/22/2021 11:09 PM,48.00%,63
30,07/22/2021 11:24 PM,48.00%,63
31,07/22/2021 11:39 PM,48.00%,63
32,07/22/2021 11:54 PM,47.00%,63
33,07/23/2021 12:09 AM,0.00%,0
34,07/23/2021 12:23 AM,0.00%,0
35,07/23/2021 12:38 AM,0.00%,0
36,07/23/2021 12:53 AM,0.00%,0
37,07/23/2021 1:08 AM,0.00%,0
38,07/23/2021 1:23 AM,0.00%,0
39,07/23/2021 1:38 AM,0.00%,0
40,07/23/2021 1:53 AM,0.00%,0
41,07/23/2021 2:08 AM,0.00%,0
42,07/23/2021 2:23 AM,0.00%,0
43,07/23/2021 2:38 AM,0.00%,0
44,07/23/2021 2:53 AM,0.00%,0
45,07/23/2021 3:08 AM,0.00%,0
46,07/23/2021 3:24 AM,0.00%,0
47,07/23/2021 3:38 AM,0.00%,0
48,07/23/2021 3:53 AM,0.00%,0
