,03/22/2021 11:57 PM,172.72%,17.44,306.6,529.47
0,03/23/2021 5:27 AM,0.00%,0.0,0.0,0.0
1,03/23/2021 5:42 AM,0.00%,0.0,0.0,0.0
2,03/23/2021 5:57 AM,0.00%,0.0,0.9,0.0
3,03/23/2021 6:12 AM,3.39%,0.0,5.0,0.17
4,03/23/2021 6:27 AM,243.87%,0.91,11.1,27.0
5,03/23/2021 6:42 AM,155.96%,0.91,17.5,27.25
6,03/23/2021 6:57 AM,115.58%,0.91,23.8,27.5
7,03/23/2021 7:12 AM,91.85%,0.91,30.2,27.75
8,03/23/2021 7:27 AM,76.26%,0.91,36.7,28.0
9,03/23/2021 7:42 AM,66.04%,0.91,42.8,28.25
10,03/23/2021 7:57 AM,86.02%,2.07,48.8,41.95
11,03/23/2021 8:12 AM,151.60%,4.37,56.6,85.87
12,03/23/2021 8:27 AM,139.84%,4.46,63.2,88.42
13,03/23/2021 8:42 AM,126.71%,4.46,70.0,88.67
14,03/23/2021 8:57 AM,115.89%,4.46,76.7,88.92
15,03/23/2021 9:12 AM,107.03%,4.46,83.3,89.17
16,03/23/2021 9:27 AM,99.38%,4.46,90.0,89.42
17,03/23/2021 9:57 AM,86.98%,4.46,103.4,89.92
18,03/23/2021 10:12 AM,81.87%,4.46,110.2,90.2
19,03/23/2021 10:27 AM,77.35%,4.46,117.3,90.7
20,03/23/2021 10:42 AM,77.87%,4.96,124.3,96.76
21,03/23/2021 10:57 AM,94.29%,5.86,131.1,123.65
22,03/23/2021 11:27 AM,90.62%,6.33,142.9,129.53
23,03/23/2021 11:42 AM,87.22%,6.33,148.8,129.78
24,03/23/2021 11:57 AM,84.41%,6.33,154.0,130.03
25,03/23/2021 12:12 PM,82.85%,6.33,157.0,130.11
26,03/23/2021 12:27 PM,81.68%,6.33,159.3,130.11
27,03/23/2021 12:42 PM,79.50%,6.33,163.9,130.28
28,03/23/2021 12:57 PM,76.84%,6.33,169.9,130.53
29,03/23/2021 1:12 PM,74.32%,6.33,176.0,130.78
30,03/23/2021 1:27 PM,72.01%,6.33,182.0,131.03
31,03/23/2021 2:24 PM,64.45%,6.33,204.8,131.98
32,03/23/2021 3:27 PM,59.14%,6.33,237.6,140.53
33,03/23/2021 3:42 PM,57.81%,6.33,243.5,140.78
