,Date,DL,Tons,Direct,Earned
0,05/17/2021 11:57 PM,36.51%,14.35,418.5,152.79
1,05/18/2021 5:27 AM,0.00%,0.0,0.0,0.0
2,05/18/2021 5:42 AM,0.00%,0.0,0.0,0.0
3,05/18/2021 5:57 AM,0.00%,0.0,1.3,0.0
4,05/18/2021 6:12 AM,314.83%,1.95,6.6,20.72
5,05/18/2021 6:27 AM,445.00%,8.16,13.8,87.4
6,05/18/2021 6:42 AM,411.27%,8.16,21.3,87.4
7,05/18/2021 6:57 AM,303.62%,8.16,28.9,87.81
8,05/18/2021 7:12 AM,239.48%,8.16,36.8,88.23
9,05/18/2021 7:28 AM,196.58%,8.16,44.8,88.15
10,05/18/2021 7:42 AM,167.29%,8.16,52.8,88.4
11,05/18/2021 7:57 AM,176.73%,9.1,60.8,98.47
12,05/18/2021 8:12 AM,173.12%,9.1,68.8,98.47
13,05/18/2021 8:27 AM,155.42%,9.1,76.8,98.47
14,05/18/2021 8:42 AM,141.06%,9.1,84.8,98.47
15,05/18/2021 8:57 AM,129.11%,9.1,92.9,98.47
16,05/18/2021 9:12 AM,115.70%,9.1,101.1,98.47
17,05/18/2021 9:27 AM,106.97%,9.1,109.4,98.47
18,05/18/2021 9:42 AM,100.51%,9.1,117.6,98.47
19,05/18/2021 9:57 AM,93.92%,9.1,125.9,98.47
20,05/18/2021 10:12 AM,64.88%,9.1,134.2,98.47
21,05/18/2021 10:27 AM,69.02%,9.1,142.7,98.47
22,05/18/2021 10:42 AM,66.09%,9.1,150.8,99.67
23,05/18/2021 10:57 AM,62.76%,9.1,158.8,99.67
24,05/18/2021 11:12 AM,59.75%,9.1,166.8,99.67
25,05/18/2021 11:27 AM,75.58%,11.93,174.8,132.11
26,05/18/2021 11:43 AM,72.13%,11.93,183.2,132.11
27,05/18/2021 11:57 AM,71.63%,12.24,189.2,135.55
28,05/18/2021 12:12 PM,76.92%,13.36,192.2,147.86
29,05/18/2021 12:27 PM,92.06%,16.11,194.7,179.27
30,05/18/2021 12:42 PM,89.30%,16.11,200.7,179.27
31,05/18/2021 12:58 PM,85.89%,16.11,208.7,179.27
32,05/18/2021 1:12 PM,82.99%,16.11,216.0,179.27
33,05/18/2021 1:27 PM,80.12%,16.11,223.7,179.27
34,05/18/2021 1:42 PM,86.62%,17.99,231.7,200.72
35,05/18/2021 1:57 PM,83.75%,17.99,239.7,200.72
36,05/18/2021 2:12 PM,81.60%,18.09,247.4,201.89
37,05/18/2021 2:27 PM,79.12%,18.09,255.2,201.89
38,05/18/2021 2:43 PM,79.94%,18.85,263.4,210.58
39,05/18/2021 2:58 PM,77.80%,18.85,270.7,210.58
40,05/18/2021 3:13 PM,79.41%,19.8,278.9,221.5
41,05/18/2021 3:27 PM,77.39%,19.8,286.2,221.5
42,05/18/2021 3:42 PM,85.96%,22.55,294.2,252.91
43,05/18/2021 3:57 PM,83.69%,22.55,302.2,252.91
44,05/18/2021 4:13 PM,95.63%,26.69,310.5,296.93
45,05/18/2021 4:28 PM,93.18%,26.69,318.7,296.93
46,05/18/2021 4:42 PM,93.79%,27.33,323.9,303.72
47,05/18/2021 4:57 PM,92.81%,27.33,327.3,303.72
48,05/18/2021 5:12 PM,91.98%,27.33,330.2,303.72
49,05/18/2021 5:27 PM,91.27%,27.33,332.8,303.72
50,05/18/2021 5:42 PM,90.62%,27.33,335.2,303.72
51,05/18/2021 5:58 PM,89.96%,27.33,337.6,303.72
52,05/18/2021 6:12 PM,89.34%,27.33,340.0,303.72
53,05/18/2021 6:27 PM,88.69%,27.33,342.5,303.72
54,05/18/2021 6:42 PM,88.05%,27.33,345.0,303.72
55,05/18/2021 6:57 PM,87.47%,27.33,347.3,303.72
56,05/18/2021 7:12 PM,86.90%,27.33,349.5,303.72
57,05/18/2021 7:27 PM,86.35%,27.33,351.8,303.72
58,05/18/2021 7:43 PM,85.78%,27.33,354.1,303.72
59,05/18/2021 7:57 PM,85.18%,27.33,356.6,303.72
60,05/18/2021 8:12 PM,84.59%,27.33,359.1,303.72
61,05/18/2021 8:27 PM,84.00%,27.33,361.6,303.72
62,05/18/2021 8:42 PM,83.42%,27.33,364.1,303.72
63,05/18/2021 8:57 PM,82.83%,27.33,366.7,303.72
64,05/18/2021 9:12 PM,82.25%,27.33,369.3,303.72
65,05/18/2021 9:27 PM,81.70%,27.33,371.8,303.72
66,05/18/2021 9:42 PM,81.15%,27.33,374.3,303.72
67,05/18/2021 9:57 PM,80.61%,27.33,376.8,303.72
68,05/18/2021 10:12 PM,80.13%,27.33,379.0,303.72
69,05/18/2021 10:27 PM,79.66%,27.33,381.3,303.72
70,05/18/2021 10:42 PM,79.17%,27.33,383.6,303.72
71,05/18/2021 10:57 PM,78.73%,27.33,385.8,303.72
72,05/18/2021 11:12 PM,78.39%,27.33,387.5,303.72
73,05/18/2021 11:27 PM,78.02%,27.33,389.3,303.72
74,05/18/2021 11:42 PM,77.52%,27.33,391.8,303.72
75,05/18/2021 11:57 PM,76.98%,27.33,394.5,303.72
