,Date,DL,Tons,Direct,Earned,EVA
0,06/03/2021 11:47 PM,67.06%,18.57,318.0,213.26,134.8
1,06/04/2021 5:32 AM,0.00%,0.0,0.0,0.0,0.0
2,06/04/2021 5:47 AM,0.00%,0.0,0.0,0.0,0.0
3,06/04/2021 6:02 AM,0.00%,0.0,1.8,0.0,0.0
4,06/04/2021 6:17 AM,0.00%,0.0,7.5,0.0,0.0
5,06/04/2021 6:32 AM,0.00%,0.0,13.7,0.0,0.0
6,06/04/2021 6:47 AM,0.00%,0.0,20.3,0.0,0.0
7,06/04/2021 7:02 AM,0.00%,0.0,27.0,0.0,0.0
8,06/04/2021 7:17 AM,0.00%,0.0,33.5,0.0,0.0
9,06/04/2021 7:32 AM,0.00%,0.0,40.0,0.0,0.0
10,06/04/2021 7:47 AM,0.00%,0.0,46.5,0.0,0.0
11,06/04/2021 8:02 AM,0.00%,0.0,52.3,0.0,0.0
12,06/04/2021 9:30 AM,133.28%,10.69,92.8,123.67,33.6
13,06/04/2021 9:32 AM,131.95%,10.69,93.7,123.67,33.6
14,06/04/2021 10:02 AM,115.27%,10.69,107.3,123.67,33.6
15,06/04/2021 10:17 AM,108.45%,10.69,114.0,123.67,33.6
16,06/04/2021 10:32 AM,103.88%,10.82,120.5,125.21,33.6
17,06/04/2021 10:48 AM,98.76%,10.82,126.8,125.21,33.6
18,06/04/2021 11:02 AM,94.12%,10.82,133.0,125.21,33.6
19,06/04/2021 11:17 AM,89.90%,10.82,139.3,125.21,33.6
20,06/04/2021 11:33 AM,86.03%,10.82,145.6,125.21,33.6
21,06/04/2021 11:48 AM,97.91%,12.85,151.8,148.62,46.5
22,06/04/2021 12:02 PM,92.70%,12.62,157.6,146.04,46.5
23,06/04/2021 12:17 PM,104.67%,14.34,158.6,165.95,63.4
24,06/04/2021 12:32 PM,104.12%,14.34,159.4,165.95,63.4
25,06/04/2021 12:47 PM,100.50%,14.34,165.1,165.95,63.4
26,06/04/2021 1:03 PM,96.49%,14.34,172.0,165.95,63.4
27,06/04/2021 1:18 PM,93.24%,14.34,178.0,165.95,63.4
28,06/04/2021 1:33 PM,90.08%,14.34,184.2,165.95,63.4
29,06/04/2021 1:48 PM,90.05%,14.83,190.5,171.53,66.8
30,06/04/2021 2:04 PM,87.19%,14.83,196.7,171.53,66.8
31,06/04/2021 2:18 PM,85.03%,14.94,203.2,172.81,67.1
32,06/04/2021 2:33 PM,82.40%,14.94,209.7,172.81,67.1
33,06/04/2021 2:48 PM,81.81%,14.94,211.2,172.81,67.1
34,06/04/2021 3:03 PM,81.33%,14.94,212.5,172.81,67.1
35,06/04/2021 3:17 PM,80.57%,14.94,214.5,172.81,67.1
36,06/04/2021 3:33 PM,79.74%,14.94,216.7,172.81,67.1
37,06/04/2021 3:47 PM,78.92%,14.94,219.0,172.81,67.1
38,06/04/2021 4:02 PM,78.12%,14.94,221.2,172.81,67.1
39,06/04/2021 4:17 PM,77.33%,14.94,223.5,172.81,67.1
40,06/04/2021 4:32 PM,76.56%,14.94,225.7,172.81,67.1
41,06/04/2021 4:47 PM,75.71%,14.94,228.3,172.81,67.1
42,06/04/2021 5:02 PM,74.81%,14.94,231.0,172.81,67.1
43,06/04/2021 5:17 PM,73.93%,14.94,233.8,172.81,67.1
44,06/04/2021 5:32 PM,73.07%,14.94,236.5,172.81,67.1
45,06/04/2021 5:47 PM,72.23%,14.94,239.3,172.81,67.1
46,06/04/2021 6:02 PM,71.41%,14.94,242.0,172.81,67.1
47,06/04/2021 6:17 PM,70.61%,14.94,244.8,172.81,67.1
48,06/04/2021 6:32 PM,69.82%,14.94,247.5,172.81,67.1
49,06/04/2021 6:47 PM,69.06%,14.94,250.3,172.81,67.1
50,06/04/2021 7:02 PM,68.30%,14.94,253.0,172.81,67.1
51,06/04/2021 7:17 PM,67.57%,14.94,255.8,172.81,67.1
52,06/04/2021 7:32 PM,66.85%,14.94,258.5,172.81,67.1
53,06/04/2021 7:48 PM,66.15%,14.94,261.3,172.81,67.1
54,06/04/2021 8:02 PM,65.46%,14.94,264.0,172.81,67.1
55,06/04/2021 8:17 PM,64.84%,14.94,266.5,172.81,67.1
56,06/04/2021 8:32 PM,64.24%,14.94,269.0,172.81,67.1
57,06/04/2021 8:47 PM,63.59%,14.94,271.8,172.81,67.1
58,06/04/2021 9:02 PM,63.01%,14.94,274.3,172.81,67.1
59,06/04/2021 9:18 PM,62.67%,14.94,275.8,172.81,67.1
60,06/04/2021 9:32 PM,62.27%,14.94,277.5,172.81,67.1
61,06/04/2021 9:47 PM,61.72%,14.94,280.0,172.81,67.1
62,06/04/2021 10:02 PM,61.17%,14.94,282.5,172.81,67.1
63,06/04/2021 10:17 PM,60.58%,14.94,285.3,172.81,67.1
64,06/04/2021 10:33 PM,60.05%,14.94,287.8,172.81,67.1
65,06/04/2021 10:47 PM,59.53%,14.94,290.3,172.81,67.1
66,06/04/2021 11:02 PM,59.03%,14.94,292.8,172.81,67.1
67,06/04/2021 11:18 PM,58.53%,14.94,295.3,172.81,67.1
68,06/04/2021 11:33 PM,58.04%,14.94,297.8,172.81,67.1
69,06/04/2021 11:48 PM,57.84%,14.94,298.8,172.81,67.1
