,03/22/2021 11:58 PM,34.46%,8.2,324.7,111.88
0,03/23/2021 5:28 AM,0.00%,0.0,11.3,0.0
1,03/23/2021 5:43 AM,0.00%,0.0,18.2,0.0
2,03/23/2021 5:58 AM,0.00%,0.0,24.9,0.0
3,03/23/2021 6:13 AM,0.00%,0.0,31.2,0.0
4,03/23/2021 6:28 AM,0.00%,0.0,37.2,0.0
5,03/23/2021 6:43 AM,0.00%,0.0,43.2,0.0
6,03/23/2021 6:58 AM,0.00%,0.0,49.2,0.0
7,03/23/2021 7:13 AM,0.00%,0.0,55.2,0.0
8,03/23/2021 7:28 AM,0.00%,0.0,61.0,0.0
9,03/23/2021 7:43 AM,0.00%,0.0,66.8,0.0
10,03/23/2021 7:58 AM,0.00%,0.0,72.5,0.0
11,03/23/2021 8:13 AM,0.00%,0.0,78.3,0.0
12,03/23/2021 8:28 AM,0.00%,0.0,84.0,0.0
13,03/23/2021 8:43 AM,0.00%,0.0,89.8,0.0
14,03/23/2021 8:58 AM,0.00%,0.0,95.5,0.0
15,03/23/2021 9:13 AM,0.00%,0.0,101.3,0.0
16,03/23/2021 9:28 AM,0.00%,0.0,107.3,0.0
17,03/23/2021 9:58 AM,0.00%,0.0,119.3,0.0
18,03/23/2021 10:13 AM,0.00%,0.0,125.3,0.0
19,03/23/2021 10:28 AM,0.00%,0.0,131.3,0.0
20,03/23/2021 10:43 AM,13.10%,1.39,136.6,17.89
21,03/23/2021 10:58 AM,12.65%,1.39,141.4,17.89
22,03/23/2021 11:28 AM,12.35%,1.39,144.8,17.89
23,03/23/2021 11:43 AM,11.98%,1.39,149.4,17.89
24,03/23/2021 11:58 AM,11.50%,1.39,155.5,17.89
25,03/23/2021 12:13 PM,11.06%,1.39,161.8,17.89
26,03/23/2021 12:28 PM,10.65%,1.39,168.0,17.89
27,03/23/2021 12:43 PM,10.26%,1.39,174.3,17.89
28,03/23/2021 12:58 PM,9.91%,1.39,180.5,17.89
29,03/23/2021 1:13 PM,9.58%,1.39,186.8,17.89
30,03/23/2021 1:28 PM,9.26%,1.39,193.3,17.89
31,03/23/2021 2:25 PM,10.05%,1.66,218.0,21.9
32,03/23/2021 3:28 PM,8.95%,1.66,244.8,21.9
33,03/23/2021 3:43 PM,8.82%,1.66,248.3,21.9
