,Date,DL,Tons,Direct,Earned
0,05/01/2021 11:58 PM,0.00%,0.0,77.6,0.0
1,05/03/2021 5:28 AM,0.00%,0.0,10.9,0.0
2,05/03/2021 5:43 AM,0.00%,0.0,16.1,0.0
3,05/03/2021 5:58 AM,0.00%,0.0,22.0,0.0
4,05/03/2021 6:13 AM,0.00%,0.0,28.1,0.0
5,05/03/2021 6:28 AM,6.48%,0.15,34.3,2.22
6,05/03/2021 6:43 AM,53.16%,1.91,40.6,21.57
7,05/03/2021 6:58 AM,46.06%,1.91,46.8,21.57
8,05/03/2021 7:13 AM,75.33%,3.58,53.3,40.12
9,05/03/2021 7:28 AM,67.12%,3.58,59.8,40.12
10,05/03/2021 7:43 AM,60.54%,3.58,66.3,40.12
11,05/03/2021 7:58 AM,55.13%,3.58,72.8,40.12
12,05/03/2021 8:13 AM,50.61%,3.58,79.3,40.12
13,05/03/2021 8:28 AM,46.78%,3.58,85.8,40.12
14,05/03/2021 8:43 AM,54.29%,4.49,92.3,50.1
15,05/03/2021 8:58 AM,50.62%,6.55,99.0,50.1
16,05/03/2021 9:13 AM,50.15%,6.91,105.7,53.0
17,05/03/2021 9:28 AM,67.49%,7.76,93.4,63.06
18,05/03/2021 9:43 AM,70.09%,8.18,98.9,69.34
19,05/03/2021 9:58 AM,66.35%,8.18,104.5,69.34
20,05/03/2021 10:13 AM,62.89%,8.18,110.3,69.34
21,05/03/2021 10:28 AM,59.77%,8.18,116.0,69.34
22,05/03/2021 10:43 AM,56.27%,8.11,121.4,68.31
23,05/03/2021 10:58 AM,61.87%,8.78,126.5,78.25
24,05/03/2021 11:13 AM,60.88%,8.78,128.5,78.25
25,05/03/2021 11:28 AM,60.32%,8.78,129.7,78.25
26,05/03/2021 11:43 AM,58.28%,8.78,134.3,78.25
27,05/03/2021 11:58 AM,55.96%,8.78,139.8,78.25
28,05/03/2021 12:13 PM,53.84%,8.78,145.3,78.25
29,05/03/2021 12:28 PM,84.53%,12.26,151.0,127.65
30,05/03/2021 12:43 PM,81.47%,12.26,156.7,127.65
31,05/03/2021 12:58 PM,78.65%,12.26,162.3,127.65
32,05/03/2021 2:13 PM,66.05%,12.26,193.3,127.65
33,05/03/2021 2:28 PM,63.99%,12.26,199.5,127.65
34,05/03/2021 3:43 PM,52.42%,13.34,265.9,209.46
35,05/03/2021 3:58 PM,52.27%,13.34,266.7,139.39
36,05/03/2021 4:13 PM,51.99%,13.34,268.1,139.39
37,05/03/2021 4:28 PM,51.70%,13.34,269.6,139.39
38,05/03/2021 4:43 PM,51.31%,13.34,271.7,139.39
39,05/03/2021 4:58 PM,50.92%,13.34,273.7,139.39
40,05/03/2021 5:13 PM,50.59%,13.34,275.5,139.39
41,05/03/2021 5:28 PM,50.27%,13.34,277.3,139.39
42,05/03/2021 5:43 PM,49.96%,13.34,279.0,139.39
43,05/03/2021 5:58 PM,49.64%,13.34,280.8,139.39
44,05/03/2021 6:13 PM,49.34%,13.34,282.5,139.39
45,05/03/2021 6:28 PM,49.03%,13.34,284.3,139.39
46,05/03/2021 6:43 PM,48.73%,13.34,286.0,139.39
47,05/03/2021 6:58 PM,48.47%,13.34,287.6,139.39
48,05/03/2021 7:13 PM,48.22%,13.34,289.1,139.39
49,05/03/2021 7:28 PM,47.97%,13.34,290.6,139.39
50,05/03/2021 7:43 PM,47.72%,13.34,292.1,139.39
51,05/03/2021 7:58 PM,47.48%,13.34,293.6,139.39
52,05/03/2021 8:13 PM,47.23%,13.34,295.1,139.39
53,05/03/2021 8:28 PM,47.00%,13.34,296.6,139.39
54,05/03/2021 8:43 PM,46.76%,13.34,298.1,139.39
55,05/03/2021 8:58 PM,46.53%,13.34,299.6,139.39
56,05/03/2021 9:13 PM,46.29%,13.34,301.1,139.39
57,05/03/2021 9:28 PM,46.09%,13.34,302.4,139.39
58,05/03/2021 9:43 PM,45.90%,13.34,303.7,139.39
59,05/03/2021 9:58 PM,45.71%,13.34,304.9,139.39
60,05/03/2021 10:13 PM,45.55%,13.34,306.0,139.39
61,05/03/2021 10:28 PM,45.41%,13.34,307.0,139.39
62,05/03/2021 10:43 PM,45.29%,13.34,307.8,139.39
63,05/03/2021 10:58 PM,45.15%,13.34,308.7,139.39
64,05/03/2021 11:13 PM,44.95%,13.34,310.1,139.39
65,05/03/2021 11:28 PM,44.73%,13.34,311.6,139.39
66,05/03/2021 11:43 PM,44.52%,13.34,313.1,139.39
67,05/03/2021 11:58 PM,44.31%,13.34,314.6,139.39
