,Date,DL,Tons,Direct,Earned,EVA
0,07/26/2021 11:51 PM,59.00%,14.22,314.0,187.0,41
1,07/27/2021 5:36 AM,0.00%,0.0,12.0,0.0,0
2,07/27/2021 5:51 AM,0.00%,0.0,18.0,0.0,0
3,07/27/2021 6:06 AM,0.00%,0.0,24.0,0.0,0
4,07/27/2021 6:21 AM,0.00%,0.0,30.0,0.0,0
5,07/27/2021 6:36 AM,0.00%,0.0,37.0,0.0,0
6,07/27/2021 6:51 AM,0.00%,0.0,43.0,0.0,0
7,07/27/2021 7:07 AM,0.00%,0.0,50.0,0.0,0
8,07/27/2021 7:21 AM,0.00%,0.0,56.0,0.0,0
9,07/27/2021 7:36 AM,0.00%,0.0,63.0,0.0,0
10,07/27/2021 7:51 AM,0.00%,0.0,69.0,0.0,0
11,07/27/2021 8:06 AM,0.00%,0.0,76.0,0.0,0
12,07/27/2021 8:21 AM,0.00%,0.0,83.0,0.0,0
13,07/27/2021 8:36 AM,0.00%,0.0,89.0,0.0,0
14,07/27/2021 8:51 AM,0.00%,0.0,95.0,0.0,0
15,07/27/2021 9:06 AM,0.00%,0.0,102.0,0.0,0
16,07/27/2021 9:22 AM,1.00%,0.0,109.0,1.0,0
17,07/27/2021 9:36 AM,1.00%,0.0,115.0,1.0,0
18,07/27/2021 9:51 AM,1.00%,0.0,122.0,1.0,0
19,07/27/2021 10:07 AM,1.00%,0.0,127.0,1.0,0
20,07/27/2021 10:23 AM,1.00%,0.0,134.0,1.0,0
21,07/27/2021 10:36 AM,1.00%,0.0,139.0,1.0,0
22,07/27/2021 10:53 AM,28.00%,2.95,145.0,41.0,14
23,07/27/2021 11:06 AM,32.00%,3.49,151.0,48.0,16
24,07/27/2021 11:22 AM,32.00%,3.49,152.0,49.0,16
25,07/27/2021 11:37 AM,32.00%,3.49,155.0,49.0,16
26,07/27/2021 11:51 AM,32.00%,3.63,161.0,51.0,16
27,07/27/2021 12:06 PM,31.00%,3.63,167.0,51.0,16
28,07/27/2021 12:21 PM,30.00%,3.63,173.0,52.0,16
29,07/27/2021 12:36 PM,29.00%,3.63,179.0,52.0,16
30,07/27/2021 12:51 PM,28.00%,3.63,186.0,52.0,16
31,07/27/2021 1:06 PM,27.00%,3.63,192.0,53.0,16
32,07/27/2021 1:23 PM,38.00%,5.25,199.0,76.0,29
33,07/27/2021 1:37 PM,38.00%,5.42,206.0,79.0,29
34,07/27/2021 1:51 PM,37.00%,5.42,212.0,79.0,29
35,07/27/2021 2:07 PM,36.00%,5.42,218.0,79.0,29
36,07/27/2021 2:22 PM,35.00%,5.42,224.0,80.0,29
37,07/27/2021 2:38 PM,39.00%,6.27,230.0,90.0,33
38,07/27/2021 2:51 PM,41.00%,6.76,236.0,97.0,34
39,07/27/2021 3:07 PM,40.00%,6.76,242.0,97.0,34
40,07/27/2021 3:21 PM,39.00%,6.76,247.0,97.0,34
41,07/27/2021 3:37 PM,47.00%,8.67,253.0,120.0,48
42,07/27/2021 3:51 PM,47.00%,8.67,255.0,120.0,48
43,07/27/2021 4:07 PM,47.00%,8.67,256.0,121.0,48
44,07/27/2021 4:22 PM,47.00%,8.67,257.0,120.0,48
45,07/27/2021 4:37 PM,46.00%,8.67,259.0,120.0,48
46,07/27/2021 4:52 PM,46.00%,8.67,261.0,120.0,48
47,07/27/2021 5:06 PM,46.00%,8.67,263.0,120.0,48
48,07/27/2021 5:21 PM,45.00%,8.67,265.0,120.0,48
49,07/27/2021 5:36 PM,45.00%,8.67,267.0,120.0,48
50,07/27/2021 5:52 PM,45.00%,8.67,269.0,120.0,48
51,07/27/2021 6:06 PM,44.00%,8.67,271.0,120.0,48
52,07/27/2021 6:21 PM,44.00%,8.67,273.0,120.0,48
53,07/27/2021 6:37 PM,44.00%,8.67,275.0,120.0,48
54,07/27/2021 6:52 PM,43.00%,8.67,277.0,120.0,48
55,07/27/2021 7:06 PM,43.00%,8.67,279.0,120.0,48
56,07/27/2021 7:22 PM,43.00%,8.67,281.0,120.0,48
57,07/27/2021 7:36 PM,43.00%,8.67,283.0,120.0,48
58,07/27/2021 7:51 PM,42.00%,8.67,285.0,120.0,48
59,07/27/2021 8:06 PM,42.00%,8.67,287.0,120.0,48
60,07/27/2021 8:21 PM,42.00%,8.67,289.0,120.0,48
61,07/27/2021 8:36 PM,41.00%,8.67,291.0,120.0,48
62,07/27/2021 8:51 PM,41.00%,8.67,293.0,120.0,48
63,07/27/2021 9:06 PM,41.00%,8.67,295.0,120.0,48
64,07/27/2021 9:22 PM,41.00%,8.67,297.0,120.0,48
65,07/27/2021 9:36 PM,40.00%,8.67,299.0,120.0,48
66,07/27/2021 9:51 PM,40.00%,8.67,300.0,120.0,48
67,07/27/2021 10:07 PM,40.00%,8.67,302.0,120.0,48
68,07/27/2021 10:21 PM,40.00%,8.67,303.0,120.0,48
69,07/27/2021 10:36 PM,40.00%,8.67,304.0,120.0,48
70,07/27/2021 10:51 PM,39.00%,8.67,305.0,120.0,48
71,07/27/2021 11:06 PM,39.00%,8.67,307.0,120.0,48
72,07/27/2021 11:21 PM,39.00%,8.67,309.0,120.0,48
73,07/27/2021 11:52 PM,38.46%,8.67,313.0,120.0,48
